binding_id,family_id,hard_fail_code,source_package,target_gate,validator_entrypoint,expected_rule_family,fixture_scope,binding_status,runtime_allowed,production_allowed,claim_promotion_allowed,allowed_use,blocked_use
G22B-BINDING-011,G21B-FAMILY-011,trapezoid_runtime_without_geometry_primitive,Package B,Package B,tests/test_cross_section_geometry.py,CROSS-SECTION-GEOMETRY,geometry_sampler_static_fixture,PASS_CALLABLE_STATIC_BINDING,false,false,false,review-only Gate21-to-Gate22 validator binding matrix;contract patch queue;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G22B-BINDING-012,G21B-FAMILY-012,rectangular_sampler_under_trapezoid,Package B,Package B,tests/test_cross_section_geometry.py,CROSS-SECTION-GEOMETRY,geometry_sampler_static_fixture,PASS_CALLABLE_STATIC_BINDING,false,false,false,review-only Gate21-to-Gate22 validator binding matrix;contract patch queue;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G22B-BINDING-013,G21B-FAMILY-013,uniform_accessible_area_label_mismatch,Package B,Package B,tests/test_cross_section_geometry.py,CROSS-SECTION-GEOMETRY,geometry_sampler_static_fixture,PASS_CALLABLE_STATIC_BINDING,false,false,false,review-only Gate21-to-Gate22 validator binding matrix;contract patch queue;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G22B-BINDING-014,G21B-FAMILY-014,sample_outside_center_support,Package B,Package B,tests/test_cross_section_geometry.py,CROSS-SECTION-GEOMETRY,geometry_sampler_static_fixture,PASS_CALLABLE_STATIC_BINDING,false,false,false,review-only Gate21-to-Gate22 validator binding matrix;contract patch queue;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G22B-BINDING-015,G21B-FAMILY-015,blocked_bin_has_response,Package B,Package B,validate_position_response_surface_rows,PRS-SIDEWALL-V2,prs_blocked_bin_fixture,PASS_CALLABLE_STATIC_BINDING,false,false,false,review-only Gate21-to-Gate22 validator binding matrix;contract patch queue;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G22B-BINDING-016,G21B-FAMILY-016,neighbor_fill_blocked_bin,Package B,Package B,validate_position_response_surface_rows,PRS-SIDEWALL-V2,prs_blocked_bin_fixture,PASS_CALLABLE_STATIC_BINDING,false,false,false,review-only Gate21-to-Gate22 validator binding matrix;contract patch queue;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G22B-BINDING-017,G21B-FAMILY-017,flux_weighted_without_trapezoid_flow_model,Package B,Package B,tests/test_cross_section_geometry.py,CROSS-SECTION-GEOMETRY,geometry_sampler_static_fixture,PASS_CALLABLE_STATIC_BINDING,false,false,false,review-only Gate21-to-Gate22 validator binding matrix;contract patch queue;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G22B-BINDING-018,G21B-FAMILY-018,prs_without_geometry_basis,Package D,Package D,validate_position_response_surface_rows;validate_sidewall_package_d_precheck_rows,PRS-SIDEWALL-V2;SIDEWALL-D-PRECHECK,prs_sidewall_v2_fixture,PASS_CALLABLE_STATIC_BINDING,false,false,false,review-only Gate21-to-Gate22 validator binding matrix;contract patch queue;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G22B-BINDING-019,G21B-FAMILY-019,prs_without_particle_radius_support,Package D,Package D,validate_position_response_surface_rows;validate_sidewall_package_d_precheck_rows,PRS-SIDEWALL-V2;SIDEWALL-D-PRECHECK,prs_sidewall_v2_fixture,PASS_CALLABLE_STATIC_BINDING,false,false,false,review-only Gate21-to-Gate22 validator binding matrix;contract patch queue;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G22B-BINDING-020,G21B-FAMILY-020,edge4_to_edge20_direct_mapping,Package D,Package D,validate_position_response_surface_rows;validate_sidewall_package_d_precheck_rows,PRS-SIDEWALL-V2;SIDEWALL-D-PRECHECK,prs_sidewall_v2_fixture,PASS_CALLABLE_STATIC_BINDING,false,false,false,review-only Gate21-to-Gate22 validator binding matrix;contract patch queue;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G22B-BINDING-021,G21B-FAMILY-021,D900_to_D1200_borrowing,Package D,Package D,validate_position_response_surface_rows;validate_sidewall_package_d_precheck_rows,PRS-SIDEWALL-V2;SIDEWALL-D-PRECHECK,prs_sidewall_v2_fixture,PASS_CALLABLE_STATIC_BINDING,false,false,false,review-only Gate21-to-Gate22 validator binding matrix;contract patch queue;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G22B-BINDING-022,G21B-FAMILY-022,auto_admit_220_or_300nm,Package D,Package D,validate_position_response_surface_rows;validate_sidewall_package_d_precheck_rows,PRS-SIDEWALL-V2;SIDEWALL-D-PRECHECK,prs_sidewall_v2_fixture,PASS_CALLABLE_STATIC_BINDING,false,false,false,review-only Gate21-to-Gate22 validator binding matrix;contract patch queue;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G22B-BINDING-023,G21B-FAMILY-023,comsol_context_as_prs_grain,Package D,Package D,validate_position_response_surface_rows;validate_sidewall_package_d_precheck_rows,PRS-SIDEWALL-V2;SIDEWALL-D-PRECHECK,prs_sidewall_v2_fixture,PASS_CALLABLE_STATIC_BINDING,false,false,false,review-only Gate21-to-Gate22 validator binding matrix;contract patch queue;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G22B-BINDING-024,G21B-FAMILY-024,bare_W_eff,Package D,Package D,validate_effective_aperture_surrogate_rows,EAS-SIDEWALL-V2,eas_sidewall_v2_fixture,PASS_CALLABLE_STATIC_BINDING,false,false,false,review-only Gate21-to-Gate22 validator binding matrix;contract patch queue;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G22B-BINDING-025,G21B-FAMILY-025,solver_trigger_as_solver_output,Package D,Package D,validate_effective_aperture_surrogate_rows,EAS-SIDEWALL-V2,eas_sidewall_v2_fixture,PASS_CALLABLE_STATIC_BINDING,false,false,false,review-only Gate21-to-Gate22 validator binding matrix;contract patch queue;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G22B-BINDING-026,G21B-FAMILY-026,rank_or_score_field_present,Package D,Package D,validate_position_response_surface_rows;validate_effective_aperture_surrogate_rows;validate_sidewall_package_d_precheck_rows,PRS/EAS-SIDEWALL-V2;SIDEWALL-D-PRECHECK,prs_eas_package_d_fixture,PASS_CALLABLE_STATIC_BINDING,false,false,false,review-only Gate21-to-Gate22 validator binding matrix;contract patch queue;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G22B-BINDING-027,G21B-FAMILY-027,claim_flags_missing,Package D,Package D,validate_position_response_surface_rows;validate_effective_aperture_surrogate_rows;validate_sidewall_package_d_precheck_rows,PRS/EAS-SIDEWALL-V2;SIDEWALL-D-PRECHECK,prs_eas_package_d_fixture,PASS_CALLABLE_STATIC_BINDING,false,false,false,review-only Gate21-to-Gate22 validator binding matrix;contract patch queue;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G22B-BINDING-028,G21B-FAMILY-028,old_rectangular_cache_reuse,G8 cache/signature,G8 cache/signature,validate_position_response_surface_rows;validate_effective_aperture_surrogate_rows;tests/test_physics_core.py,PRS/EAS-SIDEWALL-V2;PHYSICS-SIGNATURE,cache_signature_fixture,PASS_CALLABLE_STATIC_BINDING,false,false,false,review-only Gate21-to-Gate22 validator binding matrix;contract patch queue;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G22B-BINDING-029,G21B-FAMILY-029,sidewall_aware_with_not_propagated_status,G8 cache/signature,G8 cache/signature,validate_position_response_surface_rows;validate_effective_aperture_surrogate_rows;tests/test_physics_core.py,PRS/EAS-SIDEWALL-V2;PHYSICS-SIGNATURE,cache_signature_fixture,PASS_CALLABLE_STATIC_BINDING,false,false,false,review-only Gate21-to-Gate22 validator binding matrix;contract patch queue;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
