schema_delta_id,field_or_family,field_family,change_type,nodi_responsibility,comsol_producer_expectation,allowed_use,blocked_use,auth_impact,future_gate,forbidden_positive
G14C-V3-FIELD-014,surface_gap_nm,sampler_support,additive_or_clarifying_v3_delta,NODI producer,diagnostic; not solver validation,schema guard/static preflight/review-only dry-run,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;true PRS/EAS sidewall numeric output;validated Brownian/flow/optical/wet physics,none_no_auth,Gate15 or explicit user-authorized pilot only,false
G14C-V3-FIELD-015,includes_trajectory_near_wall_metrics,package_C_gate,additive_or_clarifying_v3_delta,NODI receiver,must be true with package_C_validation_status pass before wall-distance basis,schema guard/static preflight/review-only dry-run,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;true PRS/EAS sidewall numeric output;validated Brownian/flow/optical/wet physics,none_no_auth,Gate15 or explicit user-authorized pilot only,false
G14C-V3-FIELD-016,package_C_validation_status,package_C_gate,additive_or_clarifying_v3_delta,NODI receiver,blocks optical/wet claims unless pass,schema guard/static preflight/review-only dry-run,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;true PRS/EAS sidewall numeric output;validated Brownian/flow/optical/wet physics,none_no_auth,Gate15 or explicit user-authorized pilot only,false
G14C-V3-FIELD-017,bin_accessible,blocked_bin_guard,additive_or_clarifying_v3_delta,NODI receiver,blocked bins cannot carry numeric response,schema guard/static preflight/review-only dry-run,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;true PRS/EAS sidewall numeric output;validated Brownian/flow/optical/wet physics,none_no_auth,Gate15 or explicit user-authorized pilot only,false
G14C-V3-FIELD-018,bin_particle_center_support_status,blocked_bin_guard,additive_or_clarifying_v3_delta,NODI receiver,must agree with bin_accessible,schema guard/static preflight/review-only dry-run,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;true PRS/EAS sidewall numeric output;validated Brownian/flow/optical/wet physics,none_no_auth,Gate15 or explicit user-authorized pilot only,false
G14C-V3-FIELD-019,blocked_reason,blocked_bin_guard,additive_or_clarifying_v3_delta,NODI receiver,required for inaccessible bins,schema guard/static preflight/review-only dry-run,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;true PRS/EAS sidewall numeric output;validated Brownian/flow/optical/wet physics,none_no_auth,Gate15 or explicit user-authorized pilot only,false
G14C-V3-FIELD-020,neighbor_fill_allowed,blocked_bin_guard,additive_or_clarifying_v3_delta,NODI receiver,false for blocked bins,schema guard/static preflight/review-only dry-run,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;true PRS/EAS sidewall numeric output;validated Brownian/flow/optical/wet physics,none_no_auth,Gate15 or explicit user-authorized pilot only,false
G14C-V3-FIELD-021,flow_rate,alias_denylist,additive_or_clarifying_v3_delta,forbidden positive,blocked exact/alias unless future q_ch sidecar,schema guard/static preflight/review-only dry-run,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;true PRS/EAS sidewall numeric output;validated Brownian/flow/optical/wet physics,none_no_auth,Gate15 or explicit user-authorized pilot only,true
G14C-V3-FIELD-022,Q,alias_denylist,additive_or_clarifying_v3_delta,forbidden positive,blocked exact/alias unless future q_ch sidecar,schema guard/static preflight/review-only dry-run,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;true PRS/EAS sidewall numeric output;validated Brownian/flow/optical/wet physics,none_no_auth,Gate15 or explicit user-authorized pilot only,true
G14C-V3-FIELD-023,q_ch,alias_denylist,additive_or_clarifying_v3_delta,forbidden positive,blocked exact/alias unless future q_ch sidecar,schema guard/static preflight/review-only dry-run,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;true PRS/EAS sidewall numeric output;validated Brownian/flow/optical/wet physics,none_no_auth,Gate15 or explicit user-authorized pilot only,true
G14C-V3-FIELD-024,route_score,alias_denylist,additive_or_clarifying_v3_delta,forbidden positive,blocked decision field,schema guard/static preflight/review-only dry-run,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;true PRS/EAS sidewall numeric output;validated Brownian/flow/optical/wet physics,none_no_auth,Gate15 or explicit user-authorized pilot only,true
G14C-V3-FIELD-025,rank,alias_denylist,additive_or_clarifying_v3_delta,forbidden positive,blocked ranking field,schema guard/static preflight/review-only dry-run,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;true PRS/EAS sidewall numeric output;validated Brownian/flow/optical/wet physics,none_no_auth,Gate15 or explicit user-authorized pilot only,true
G14C-V3-FIELD-026,JRC,alias_denylist,additive_or_clarifying_v3_delta,forbidden positive,blocked joint route class,schema guard/static preflight/review-only dry-run,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;true PRS/EAS sidewall numeric output;validated Brownian/flow/optical/wet physics,none_no_auth,Gate15 or explicit user-authorized pilot only,true
G14C-V3-FIELD-027,chi_selected,alias_denylist,additive_or_clarifying_v3_delta,forbidden positive,blocked selection field,schema guard/static preflight/review-only dry-run,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;true PRS/EAS sidewall numeric output;validated Brownian/flow/optical/wet physics,none_no_auth,Gate15 or explicit user-authorized pilot only,true
G14C-V3-FIELD-028,sidewall_aware,shortcut_denylist,additive_or_clarifying_v3_delta,forbidden positive,broad shortcut rejected; explicit v2/v3 fields required,schema guard/static preflight/review-only dry-run,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;true PRS/EAS sidewall numeric output;validated Brownian/flow/optical/wet physics,none_no_auth,Gate15 or explicit user-authorized pilot only,true
