required_field,candidate_value_present,classification,required_next_gate,can_register_proof_now,can_mark_package_c_pass_now,draft_signoff_wording_status,allowed_use,blocked_use
dt_grid_s,true,candidate_value_present,requires_comsol_no_run_receipt_then_future_user_authorization,false,false,DRAFT_NOT_AUTHORIZATION,COMSOL no-run candidate exchange receipt;candidate-only metric QA;registration gap review;future authorization-supersession planning;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;rank;winner;JOINT_ROUTE_CLASS/JRC;q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion;direct PRS bin;grain-level ingestion;accepted row expansion
equilibrium_test_method,true,candidate_value_present,requires_comsol_no_run_receipt_then_future_user_authorization,false,false,DRAFT_NOT_AUTHORIZATION,COMSOL no-run candidate exchange receipt;candidate-only metric QA;registration gap review;future authorization-supersession planning;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;rank;winner;JOINT_ROUTE_CLASS/JRC;q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion;direct PRS bin;grain-level ingestion;accepted row expansion
equilibrium_test_threshold,true,candidate_value_present,requires_comsol_no_run_receipt_then_future_user_authorization,false,false,DRAFT_NOT_AUTHORIZATION,COMSOL no-run candidate exchange receipt;candidate-only metric QA;registration gap review;future authorization-supersession planning;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;rank;winner;JOINT_ROUTE_CLASS/JRC;q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion;direct PRS bin;grain-level ingestion;accepted row expansion
equilibrium_uniformity_evidence_sha256,true,candidate_value_present,requires_comsol_no_run_receipt_then_future_user_authorization,false,false,DRAFT_NOT_AUTHORIZATION,COMSOL no-run candidate exchange receipt;candidate-only metric QA;registration gap review;future authorization-supersession planning;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;rank;winner;JOINT_ROUTE_CLASS/JRC;q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion;direct PRS bin;grain-level ingestion;accepted row expansion
external_review_artifact_sha256,false,blank_missing,requires_future_explicit_authorization_or_independent_review,false,false,DRAFT_NOT_AUTHORIZATION,COMSOL no-run candidate exchange receipt;candidate-only metric QA;registration gap review;future authorization-supersession planning;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;rank;winner;JOINT_ROUTE_CLASS/JRC;q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion;direct PRS bin;grain-level ingestion;accepted row expansion
implementation_commit_sha,false,blank_missing,requires_future_explicit_authorization_or_independent_review,false,false,DRAFT_NOT_AUTHORIZATION,COMSOL no-run candidate exchange receipt;candidate-only metric QA;registration gap review;future authorization-supersession planning;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;rank;winner;JOINT_ROUTE_CLASS/JRC;q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion;direct PRS bin;grain-level ingestion;accepted row expansion
independent_reviewer_id_or_artifact_sha256,false,blank_missing,requires_future_explicit_authorization_or_independent_review,false,false,DRAFT_NOT_AUTHORIZATION,COMSOL no-run candidate exchange receipt;candidate-only metric QA;registration gap review;future authorization-supersession planning;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;rank;winner;JOINT_ROUTE_CLASS/JRC;q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion;direct PRS bin;grain-level ingestion;accepted row expansion
max_reflection_iterations,true,candidate_value_present,requires_comsol_no_run_receipt_then_future_user_authorization,false,false,DRAFT_NOT_AUTHORIZATION,COMSOL no-run candidate exchange receipt;candidate-only metric QA;registration gap review;future authorization-supersession planning;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;rank;winner;JOINT_ROUTE_CLASS/JRC;q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion;direct PRS bin;grain-level ingestion;accepted row expansion
no_boundary_atom_evidence_sha256,true,candidate_value_present,requires_comsol_no_run_receipt_then_future_user_authorization,false,false,DRAFT_NOT_AUTHORIZATION,COMSOL no-run candidate exchange receipt;candidate-only metric QA;registration gap review;future authorization-supersession planning;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;rank;winner;JOINT_ROUTE_CLASS/JRC;q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion;direct PRS bin;grain-level ingestion;accepted row expansion
one_wall_limit_tolerance,true,candidate_value_present,requires_comsol_no_run_receipt_then_future_user_authorization,false,false,DRAFT_NOT_AUTHORIZATION,COMSOL no-run candidate exchange receipt;candidate-only metric QA;registration gap review;future authorization-supersession planning;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;rank;winner;JOINT_ROUTE_CLASS/JRC;q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion;direct PRS bin;grain-level ingestion;accepted row expansion
package_C_proof_artifact_id,true,candidate_value_present,requires_comsol_no_run_receipt_then_future_user_authorization,false,false,DRAFT_NOT_AUTHORIZATION,COMSOL no-run candidate exchange receipt;candidate-only metric QA;registration gap review;future authorization-supersession planning;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;rank;winner;JOINT_ROUTE_CLASS/JRC;q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion;direct PRS bin;grain-level ingestion;accepted row expansion
package_C_proof_artifact_scope,true,candidate_value_present,requires_comsol_no_run_receipt_then_future_user_authorization,false,false,DRAFT_NOT_AUTHORIZATION,COMSOL no-run candidate exchange receipt;candidate-only metric QA;registration gap review;future authorization-supersession planning;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;rank;winner;JOINT_ROUTE_CLASS/JRC;q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion;direct PRS bin;grain-level ingestion;accepted row expansion
package_C_proof_artifact_sha256,true,candidate_value_present,requires_comsol_no_run_receipt_then_future_user_authorization,false,false,DRAFT_NOT_AUTHORIZATION,COMSOL no-run candidate exchange receipt;candidate-only metric QA;registration gap review;future authorization-supersession planning;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;rank;winner;JOINT_ROUTE_CLASS/JRC;q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion;direct PRS bin;grain-level ingestion;accepted row expansion
package_C_proof_artifact_status,true,candidate_value_present,requires_comsol_no_run_receipt_then_future_user_authorization,false,false,DRAFT_NOT_AUTHORIZATION,COMSOL no-run candidate exchange receipt;candidate-only metric QA;registration gap review;future authorization-supersession planning;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;rank;winner;JOINT_ROUTE_CLASS/JRC;q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion;direct PRS bin;grain-level ingestion;accepted row expansion
package_C_proof_authorization_status,true,candidate_only_value_present,draft_not_authorization,false,false,DRAFT_NOT_AUTHORIZATION,COMSOL no-run candidate exchange receipt;candidate-only metric QA;registration gap review;future authorization-supersession planning;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;rank;winner;JOINT_ROUTE_CLASS/JRC;q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion;direct PRS bin;grain-level ingestion;accepted row expansion
package_C_proof_claim_boundary,true,candidate_value_present,requires_comsol_no_run_receipt_then_future_user_authorization,false,false,DRAFT_NOT_AUTHORIZATION,COMSOL no-run candidate exchange receipt;candidate-only metric QA;registration gap review;future authorization-supersession planning;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;rank;winner;JOINT_ROUTE_CLASS/JRC;q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion;direct PRS bin;grain-level ingestion;accepted row expansion
package_C_proof_evidence_claim_level,true,candidate_value_present,requires_comsol_no_run_receipt_then_future_user_authorization,false,false,DRAFT_NOT_AUTHORIZATION,COMSOL no-run candidate exchange receipt;candidate-only metric QA;registration gap review;future authorization-supersession planning;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;rank;winner;JOINT_ROUTE_CLASS/JRC;q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion;direct PRS bin;grain-level ingestion;accepted row expansion
package_C_proof_external_review_status,true,candidate_only_value_present,draft_not_authorization,false,false,DRAFT_NOT_AUTHORIZATION,COMSOL no-run candidate exchange receipt;candidate-only metric QA;registration gap review;future authorization-supersession planning;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;rank;winner;JOINT_ROUTE_CLASS/JRC;q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion;direct PRS bin;grain-level ingestion;accepted row expansion
package_C_proof_manifest_schema_version,true,candidate_value_present,requires_comsol_no_run_receipt_then_future_user_authorization,false,false,DRAFT_NOT_AUTHORIZATION,COMSOL no-run candidate exchange receipt;candidate-only metric QA;registration gap review;future authorization-supersession planning;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;rank;winner;JOINT_ROUTE_CLASS/JRC;q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion;direct PRS bin;grain-level ingestion;accepted row expansion
package_C_proof_no_electrokinetic_solver_claim,true,candidate_only_value_present,draft_not_authorization,false,false,DRAFT_NOT_AUTHORIZATION,COMSOL no-run candidate exchange receipt;candidate-only metric QA;registration gap review;future authorization-supersession planning;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;rank;winner;JOINT_ROUTE_CLASS/JRC;q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion;direct PRS bin;grain-level ingestion;accepted row expansion
package_C_proof_no_hindered_diffusion_claim,true,candidate_only_value_present,draft_not_authorization,false,false,DRAFT_NOT_AUTHORIZATION,COMSOL no-run candidate exchange receipt;candidate-only metric QA;registration gap review;future authorization-supersession planning;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;rank;winner;JOINT_ROUTE_CLASS/JRC;q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion;direct PRS bin;grain-level ingestion;accepted row expansion
package_C_proof_no_optical_solver_claim,true,candidate_only_value_present,draft_not_authorization,false,false,DRAFT_NOT_AUTHORIZATION,COMSOL no-run candidate exchange receipt;candidate-only metric QA;registration gap review;future authorization-supersession planning;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;rank;winner;JOINT_ROUTE_CLASS/JRC;q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion;direct PRS bin;grain-level ingestion;accepted row expansion
