queue_id,family_id,hard_fail_code,validator_entrypoint,patch_action,patch_required_before_static_fixture_execution,ready_for_gate23_fixture_execution_plan,runtime_allowed,production_allowed,claim_promotion_allowed,allowed_use,blocked_use
G22D-PATCH-011,G21B-FAMILY-011,trapezoid_runtime_without_geometry_primitive,tests/test_cross_section_geometry.py,KEEP_BOUND_REGRESSION_AND_PREPARE_EXECUTABLE_FIXTURE,false,true,false,false,false,review-only Gate21-to-Gate22 validator binding matrix;contract patch queue;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G22D-PATCH-012,G21B-FAMILY-012,rectangular_sampler_under_trapezoid,tests/test_cross_section_geometry.py,KEEP_BOUND_REGRESSION_AND_PREPARE_EXECUTABLE_FIXTURE,false,true,false,false,false,review-only Gate21-to-Gate22 validator binding matrix;contract patch queue;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G22D-PATCH-013,G21B-FAMILY-013,uniform_accessible_area_label_mismatch,tests/test_cross_section_geometry.py,KEEP_BOUND_REGRESSION_AND_PREPARE_EXECUTABLE_FIXTURE,false,true,false,false,false,review-only Gate21-to-Gate22 validator binding matrix;contract patch queue;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G22D-PATCH-014,G21B-FAMILY-014,sample_outside_center_support,tests/test_cross_section_geometry.py,KEEP_BOUND_REGRESSION_AND_PREPARE_EXECUTABLE_FIXTURE,false,true,false,false,false,review-only Gate21-to-Gate22 validator binding matrix;contract patch queue;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G22D-PATCH-015,G21B-FAMILY-015,blocked_bin_has_response,validate_position_response_surface_rows,KEEP_BOUND_REGRESSION_AND_PREPARE_EXECUTABLE_FIXTURE,false,true,false,false,false,review-only Gate21-to-Gate22 validator binding matrix;contract patch queue;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G22D-PATCH-016,G21B-FAMILY-016,neighbor_fill_blocked_bin,validate_position_response_surface_rows,KEEP_BOUND_REGRESSION_AND_PREPARE_EXECUTABLE_FIXTURE,false,true,false,false,false,review-only Gate21-to-Gate22 validator binding matrix;contract patch queue;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G22D-PATCH-017,G21B-FAMILY-017,flux_weighted_without_trapezoid_flow_model,tests/test_cross_section_geometry.py,KEEP_BOUND_REGRESSION_AND_PREPARE_EXECUTABLE_FIXTURE,false,true,false,false,false,review-only Gate21-to-Gate22 validator binding matrix;contract patch queue;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G22D-PATCH-018,G21B-FAMILY-018,prs_without_geometry_basis,validate_position_response_surface_rows;validate_sidewall_package_d_precheck_rows,KEEP_BOUND_REGRESSION_AND_PREPARE_EXECUTABLE_FIXTURE,false,true,false,false,false,review-only Gate21-to-Gate22 validator binding matrix;contract patch queue;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G22D-PATCH-019,G21B-FAMILY-019,prs_without_particle_radius_support,validate_position_response_surface_rows;validate_sidewall_package_d_precheck_rows,KEEP_BOUND_REGRESSION_AND_PREPARE_EXECUTABLE_FIXTURE,false,true,false,false,false,review-only Gate21-to-Gate22 validator binding matrix;contract patch queue;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G22D-PATCH-020,G21B-FAMILY-020,edge4_to_edge20_direct_mapping,validate_position_response_surface_rows;validate_sidewall_package_d_precheck_rows,KEEP_BOUND_REGRESSION_AND_PREPARE_EXECUTABLE_FIXTURE,false,true,false,false,false,review-only Gate21-to-Gate22 validator binding matrix;contract patch queue;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G22D-PATCH-021,G21B-FAMILY-021,D900_to_D1200_borrowing,validate_position_response_surface_rows;validate_sidewall_package_d_precheck_rows,KEEP_BOUND_REGRESSION_AND_PREPARE_EXECUTABLE_FIXTURE,false,true,false,false,false,review-only Gate21-to-Gate22 validator binding matrix;contract patch queue;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G22D-PATCH-022,G21B-FAMILY-022,auto_admit_220_or_300nm,validate_position_response_surface_rows;validate_sidewall_package_d_precheck_rows,KEEP_BOUND_REGRESSION_AND_PREPARE_EXECUTABLE_FIXTURE,false,true,false,false,false,review-only Gate21-to-Gate22 validator binding matrix;contract patch queue;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G22D-PATCH-023,G21B-FAMILY-023,comsol_context_as_prs_grain,validate_position_response_surface_rows;validate_sidewall_package_d_precheck_rows,KEEP_BOUND_REGRESSION_AND_PREPARE_EXECUTABLE_FIXTURE,false,true,false,false,false,review-only Gate21-to-Gate22 validator binding matrix;contract patch queue;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G22D-PATCH-024,G21B-FAMILY-024,bare_W_eff,validate_effective_aperture_surrogate_rows,KEEP_BOUND_REGRESSION_AND_PREPARE_EXECUTABLE_FIXTURE,false,true,false,false,false,review-only Gate21-to-Gate22 validator binding matrix;contract patch queue;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G22D-PATCH-025,G21B-FAMILY-025,solver_trigger_as_solver_output,validate_effective_aperture_surrogate_rows,KEEP_BOUND_REGRESSION_AND_PREPARE_EXECUTABLE_FIXTURE,false,true,false,false,false,review-only Gate21-to-Gate22 validator binding matrix;contract patch queue;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G22D-PATCH-026,G21B-FAMILY-026,rank_or_score_field_present,validate_position_response_surface_rows;validate_effective_aperture_surrogate_rows;validate_sidewall_package_d_precheck_rows,KEEP_BOUND_REGRESSION_AND_PREPARE_EXECUTABLE_FIXTURE,false,true,false,false,false,review-only Gate21-to-Gate22 validator binding matrix;contract patch queue;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G22D-PATCH-027,G21B-FAMILY-027,claim_flags_missing,validate_position_response_surface_rows;validate_effective_aperture_surrogate_rows;validate_sidewall_package_d_precheck_rows,KEEP_BOUND_REGRESSION_AND_PREPARE_EXECUTABLE_FIXTURE,false,true,false,false,false,review-only Gate21-to-Gate22 validator binding matrix;contract patch queue;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G22D-PATCH-028,G21B-FAMILY-028,old_rectangular_cache_reuse,validate_position_response_surface_rows;validate_effective_aperture_surrogate_rows;tests/test_physics_core.py,KEEP_BOUND_REGRESSION_AND_PREPARE_EXECUTABLE_FIXTURE,false,true,false,false,false,review-only Gate21-to-Gate22 validator binding matrix;contract patch queue;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G22D-PATCH-029,G21B-FAMILY-029,sidewall_aware_with_not_propagated_status,validate_position_response_surface_rows;validate_effective_aperture_surrogate_rows;tests/test_physics_core.py,KEEP_BOUND_REGRESSION_AND_PREPARE_EXECUTABLE_FIXTURE,false,true,false,false,false,review-only Gate21-to-Gate22 validator binding matrix;contract patch queue;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
