rejection_id,relative_path,candidate_workstream,evidence_class_guess,rejection_status,reason_not_sufficient,required_next_gate
NODI-G2S-REJECT-0028,roadmap/COMSOL_GATE2C_REDUCED_SCOPE_DECISION_PACKET_20260628.md,QCH,document_or_unknown_review_only,REVIEW_ONLY_NOT_POLICY_EVIDENCE,missing NODI-required binding/provenance fields: route_key|NODI_view|diameter_nm|bin_basis|source_sha256|row_identity,Gate2X-QCH formal sidecar receipt
NODI-G2S-REJECT-0029,roadmap/COMSOL_GATE2E_EDGE4_EDGE20_MINIMAL_DELIVERABLE_SKELETON_20260628.csv,EDGE,data_table_review_only,REVIEW_ONLY_NOT_POLICY_EVIDENCE,missing NODI-required binding/provenance fields: route_key|bin_basis|row_identity,Gate2X-EDGE real evidence receipt
NODI-G2S-REJECT-0030,roadmap/COMSOL_GATE2E_EDGE4_EDGE20_POLICY_REVIEW_PACKET_20260628.md,EDGE,document_or_unknown_review_only,REVIEW_ONLY_NOT_POLICY_EVIDENCE,missing NODI-required binding/provenance fields: route_key|NODI_view|diameter_nm|bin_basis|source_sha256|row_identity,Gate2X-EDGE real evidence receipt
NODI-G2S-REJECT-0031,roadmap/COMSOL_GATE2F_EDGE4_EDGE20_REVIEW_EVIDENCE_PACKET_20260628.md,QCH,document_or_unknown_review_only,REVIEW_ONLY_NOT_POLICY_EVIDENCE,missing NODI-required binding/provenance fields: route_key|NODI_view|diameter_nm|bin_basis|source_sha256|row_identity,Gate2X-QCH formal sidecar receipt
NODI-G2S-REJECT-0032,roadmap/COMSOL_GATE2F_EDGE_REVIEW_EVIDENCE_MASTER_PACKET_20260628.md,QCH,document_or_unknown_review_only,REVIEW_ONLY_NOT_POLICY_EVIDENCE,missing NODI-required binding/provenance fields: route_key|NODI_view|diameter_nm|bin_basis|source_sha256|row_identity,Gate2X-QCH formal sidecar receipt
NODI-G2S-REJECT-0033,roadmap/COMSOL_GATE2P_EDGE_SYNTHETIC_SCHEMA_PACKAGE_20260628.csv,EDGE,template_or_synthetic_not_evidence,REVIEW_ONLY_NOT_POLICY_EVIDENCE,template_or_synthetic_not_evidence; not direct evidence,Gate2X-EDGE real evidence receipt
NODI-G2S-REJECT-0034,full_chip/dwg_analysis/transported_position_source_outputs_20260621/TPD_SRC_001_W800_D900_A85_220NM_transported_position_distribution.csv,QCH,data_table_review_only,REVIEW_ONLY_NOT_POLICY_EVIDENCE,missing NODI-required binding/provenance fields: route_key|NODI_view|bin_basis|source_sha256|row_identity,Gate2X-QCH formal sidecar receipt
NODI-G2S-REJECT-0035,full_chip/dwg_analysis/transported_position_source_outputs_20260621/TPD_SRC_002_W800_D900_A85_300NM_transported_position_distribution.csv,QCH,data_table_review_only,REVIEW_ONLY_NOT_POLICY_EVIDENCE,missing NODI-required binding/provenance fields: route_key|NODI_view|bin_basis|source_sha256|row_identity,Gate2X-QCH formal sidecar receipt
NODI-G2S-REJECT-0036,full_chip/dwg_analysis/transported_position_source_outputs_20260621/TPD_SRC_003_W800_D1200_A87_220NM_transported_position_distribution.csv,QCH,data_table_review_only,REVIEW_ONLY_NOT_POLICY_EVIDENCE,missing NODI-required binding/provenance fields: route_key|NODI_view|bin_basis|source_sha256|row_identity,Gate2X-QCH formal sidecar receipt
NODI-G2S-REJECT-0037,full_chip/dwg_analysis/transported_position_source_outputs_20260621/TPD_SRC_004_W800_D1200_A87_300NM_transported_position_distribution.csv,QCH,data_table_review_only,REVIEW_ONLY_NOT_POLICY_EVIDENCE,missing NODI-required binding/provenance fields: route_key|NODI_view|bin_basis|source_sha256|row_identity,Gate2X-QCH formal sidecar receipt
NODI-G2S-REJECT-0038,roadmap/EV_PBS_POST_DRY_REQUIREMENT_CLOSEOUT_20260621.md,QCH,document_or_unknown_review_only,REVIEW_ONLY_NOT_POLICY_EVIDENCE,missing NODI-required binding/provenance fields: route_key|NODI_view|diameter_nm|bin_basis|source_sha256|row_identity,Gate2X-QCH formal sidecar receipt
NODI-G2S-REJECT-0039,roadmap/NANO_ENTRANCE_FILTER_WET_ROUGH_WALL_EXTERNAL_AI_PROMPT_20260626.md,QCH,document_or_unknown_review_only,REVIEW_ONLY_NOT_POLICY_EVIDENCE,missing NODI-required binding/provenance fields: route_key|NODI_view|diameter_nm|bin_basis|source_sha256|row_identity,Gate2X-QCH formal sidecar receipt
NODI-G2S-REJECT-0040,roadmap/NODI_PRS_INGESTION_DECISION_PACKET_20260621.md,QCH,document_or_unknown_review_only,REVIEW_ONLY_NOT_POLICY_EVIDENCE,missing NODI-required binding/provenance fields: route_key|NODI_view|diameter_nm|bin_basis|source_sha256|row_identity,Gate2X-QCH formal sidecar receipt
NODI-G2S-REJECT-0041,roadmap/NODI_PRS_W800_MINIBATCH_EXTERNAL_RUNNER_HANDOFF_20260621.md,QCH,document_or_unknown_review_only,REVIEW_ONLY_NOT_POLICY_EVIDENCE,missing NODI-required binding/provenance fields: route_key|NODI_view|diameter_nm|bin_basis|source_sha256|row_identity,Gate2X-QCH formal sidecar receipt
NODI-G2S-REJECT-0042,roadmap/TPD_PRS_CHI_CONTEXT_SIDECAR_BINS_20260622.csv,QCH,data_table_review_only,REVIEW_ONLY_NOT_POLICY_EVIDENCE,missing NODI-required binding/provenance fields: route_key|bin_basis|source_sha256|row_identity,Gate2X-QCH formal sidecar receipt
NODI-G2S-REJECT-0043,roadmap/TRANSPORTED_POSITION_DISTRIBUTION_VALIDATION_PACKET_20260621.md,QCH,validation,REVIEW_ONLY_NOT_POLICY_EVIDENCE,validation; not direct evidence,Gate2X-QCH formal sidecar receipt
NODI-G2S-REJECT-0044,roadmap/COMSOL_GATE2A_NODI_BINDING_CROSSWALK_20260627.csv,BINDING,data_table_review_only,REVIEW_ONLY_NOT_POLICY_EVIDENCE,missing NODI-required binding/provenance fields: route_key|NODI_view|bin_basis|source_sha256|row_identity,Gate2X-BINDING repair receipt
NODI-G2S-REJECT-0045,roadmap/COMSOL_GATE2B_TPD_BINDING_REPAIR_PLAN_20260627.csv,BINDING,data_table_review_only,REVIEW_ONLY_NOT_POLICY_EVIDENCE,missing NODI-required binding/provenance fields: route_key|NODI_view|bin_basis|source_sha256|row_identity,Gate2X-BINDING repair receipt
NODI-G2S-REJECT-0046,roadmap/COMSOL_GATE2C_EDGE4_EDGE20_POLICY_CANDIDATE_20260628.csv,EDGE,data_table_review_only,REVIEW_ONLY_NOT_POLICY_EVIDENCE,missing NODI-required binding/provenance fields: route_key|NODI_view|diameter_nm|bin_basis|source_sha256|row_identity,Gate2X-EDGE real evidence receipt
NODI-G2S-REJECT-0047,roadmap/COMSOL_GATE2D_REDUCED_SCOPE_CONTEXT_ONLY_CANDIDATE_20260628.csv,QCH,data_table_review_only,REVIEW_ONLY_NOT_POLICY_EVIDENCE,missing NODI-required binding/provenance fields: route_key|row_identity,Gate2X-QCH formal sidecar receipt
NODI-G2S-REJECT-0048,roadmap/COMSOL_GATE2E_QCH_FORMAL_SIDECAR_PREFLIGHT_PACKET_20260628.md,QCH,document_or_unknown_review_only,REVIEW_ONLY_NOT_POLICY_EVIDENCE,missing NODI-required binding/provenance fields: route_key|NODI_view|diameter_nm|bin_basis|source_sha256|row_identity,Gate2X-QCH formal sidecar receipt
NODI-G2S-REJECT-0049,roadmap/COMSOL_GATE2H_EDGE_EXISTING_EVIDENCE_AVAILABILITY_PACKET_20260628.md,EDGE,document_or_unknown_review_only,REVIEW_ONLY_NOT_POLICY_EVIDENCE,missing NODI-required binding/provenance fields: route_key|NODI_view|diameter_nm|bin_basis|source_sha256|row_identity,Gate2X-EDGE real evidence receipt
NODI-G2S-REJECT-0050,roadmap/COMSOL_GATE2I_EDGE_CLOSURE_NEGATIVE_FIXTURES_20260628.csv,QCH,negative_fixture,REVIEW_ONLY_NOT_POLICY_EVIDENCE,negative_fixture; not direct evidence,Gate2X-QCH formal sidecar receipt
NODI-G2S-REJECT-0051,roadmap/COMSOL_GATE2J_2K_2L_2M_NODI_SUBMISSION_CONTRACT_MASTER_PACKET_20260628.md,QCH,document_or_unknown_review_only,REVIEW_ONLY_NOT_POLICY_EVIDENCE,missing NODI-required binding/provenance fields: route_key|NODI_view|diameter_nm|bin_basis|source_sha256|row_identity,Gate2X-QCH formal sidecar receipt
NODI-G2S-REJECT-0052,roadmap/COMSOL_GATE2L_QCH_FORMAL_SIDECAR_TEMPLATE_V2_20260628.csv,QCH,template_or_synthetic_not_evidence,REVIEW_ONLY_NOT_POLICY_EVIDENCE,template_or_synthetic_not_evidence; not direct evidence,Gate2X-QCH formal sidecar receipt
NODI-G2S-REJECT-0053,roadmap/COMSOL_GATE2M_INTEGRATED_PACKAGE_PACKET_20260628.md,QCH,document_or_unknown_review_only,REVIEW_ONLY_NOT_POLICY_EVIDENCE,missing NODI-required binding/provenance fields: route_key|NODI_view|diameter_nm|bin_basis|source_sha256|row_identity,Gate2X-QCH formal sidecar receipt
NODI-G2S-REJECT-0054,roadmap/EV_PBS_CODE_MODEL_REVIEW_ROUND22_PRIOR_MONTE_CARLO_GOVERNANCE_20260628.md,BINDING,document_or_unknown_review_only,REVIEW_ONLY_NOT_POLICY_EVIDENCE,missing NODI-required binding/provenance fields: route_key|NODI_view|diameter_nm|bin_basis|source_sha256|row_identity,Gate2X-BINDING repair receipt
NODI-G2S-REJECT-0055,roadmap/EV_PBS_CODE_MODEL_REVIEW_ROUND8_CLAIM_CANONICAL_GUARDS_20260628.md,QCH,document_or_unknown_review_only,REVIEW_ONLY_NOT_POLICY_EVIDENCE,missing NODI-required binding/provenance fields: route_key|NODI_view|diameter_nm|bin_basis|source_sha256|row_identity,Gate2X-QCH formal sidecar receipt
NODI-G2S-REJECT-0056,roadmap/EV_PBS_FASTLANE_BRIDGE_PREFLIGHT_PACKET_20260621.md,QCH,document_or_unknown_review_only,REVIEW_ONLY_NOT_POLICY_EVIDENCE,missing NODI-required binding/provenance fields: route_key|NODI_view|diameter_nm|bin_basis|source_sha256|row_identity,Gate2X-QCH formal sidecar receipt
NODI-G2S-REJECT-0057,roadmap/EV_PBS_FASTLANE_FIRST_DRY_FIGURE_PACKET_20260621.md,QCH,document_or_unknown_review_only,REVIEW_ONLY_NOT_POLICY_EVIDENCE,missing NODI-required binding/provenance fields: route_key|NODI_view|diameter_nm|bin_basis|source_sha256|row_identity,Gate2X-QCH formal sidecar receipt
NODI-G2S-REJECT-0058,roadmap/EV_PBS_NEXT_ROADMAP_MULTIAGENT_SYNTHESIS_20260620.md,QCH,document_or_unknown_review_only,REVIEW_ONLY_NOT_POLICY_EVIDENCE,missing NODI-required binding/provenance fields: route_key|NODI_view|diameter_nm|bin_basis|source_sha256|row_identity,Gate2X-QCH formal sidecar receipt
NODI-G2S-REJECT-0059,roadmap/EV_PBS_NODI_LOCAL_Q_BRIDGE_REVIEW_ROUND19_20260628.md,QCH,document_or_unknown_review_only,REVIEW_ONLY_NOT_POLICY_EVIDENCE,missing NODI-required binding/provenance fields: route_key|NODI_view|diameter_nm|bin_basis|source_sha256|row_identity,Gate2X-QCH formal sidecar receipt
NODI-G2S-REJECT-0060,roadmap/EV_PBS_QCH_CORRECTED_LINEAGE_EXTRACTION_AUTHORIZATION_PACKET_20260621.md,QCH,document_or_unknown_review_only,REVIEW_ONLY_NOT_POLICY_EVIDENCE,missing NODI-required binding/provenance fields: route_key|NODI_view|diameter_nm|bin_basis|source_sha256|row_identity,Gate2X-QCH formal sidecar receipt
NODI-G2S-REJECT-0061,roadmap/EV_PBS_V4_NORMAL_NANOCHANNEL_INPUT_RECEIPT_REVIEW_PACKET_20260628.md,QCH,document_or_unknown_review_only,REVIEW_ONLY_NOT_POLICY_EVIDENCE,missing NODI-required binding/provenance fields: route_key|NODI_view|diameter_nm|bin_basis|source_sha256|row_identity,Gate2X-QCH formal sidecar receipt
NODI-G2S-REJECT-0062,roadmap/EXTREME_REALISM_COMPUTE_ROADMAP_20260617.md,QCH,document_or_unknown_review_only,REVIEW_ONLY_NOT_POLICY_EVIDENCE,missing NODI-required binding/provenance fields: route_key|NODI_view|diameter_nm|bin_basis|source_sha256|row_identity,Gate2X-QCH formal sidecar receipt
NODI-G2S-REJECT-0063,roadmap/EXTREME_REALISM_P0_MODEL_CONTRACTS_20260617.md,QCH,document_or_unknown_review_only,REVIEW_ONLY_NOT_POLICY_EVIDENCE,missing NODI-required binding/provenance fields: route_key|NODI_view|diameter_nm|bin_basis|source_sha256|row_identity,Gate2X-QCH formal sidecar receipt
NODI-G2S-REJECT-0064,roadmap/NODI_PRS_EAS_SMOKE_AUTHORIZATION_PACKET_20260617.md,QCH,document_or_unknown_review_only,REVIEW_ONLY_NOT_POLICY_EVIDENCE,missing NODI-required binding/provenance fields: route_key|NODI_view|diameter_nm|bin_basis|source_sha256|row_identity,Gate2X-QCH formal sidecar receipt
NODI-G2S-REJECT-0065,roadmap/NODI_PRS_W800_MINIBATCH_AUTHORIZATION_PACKET_20260621.md,QCH,document_or_unknown_review_only,REVIEW_ONLY_NOT_POLICY_EVIDENCE,missing NODI-required binding/provenance fields: route_key|NODI_view|diameter_nm|bin_basis|source_sha256|row_identity,Gate2X-QCH formal sidecar receipt
NODI-G2S-REJECT-0066,roadmap/POST_W800_NODI_PLAN_REVIEW_CLOSEOUT_20260617.md,QCH,document_or_unknown_review_only,REVIEW_ONLY_NOT_POLICY_EVIDENCE,missing NODI-required binding/provenance fields: route_key|NODI_view|diameter_nm|bin_basis|source_sha256|row_identity,Gate2X-QCH formal sidecar receipt
NODI-G2S-REJECT-0067,roadmap/TRANSPORTED_POSITION_AND_VALIDATION_CONTRACT_CLOSEOUT_20260617.md,QCH,validation,REVIEW_ONLY_NOT_POLICY_EVIDENCE,validation; not direct evidence,Gate2X-QCH formal sidecar receipt
NODI-G2S-REJECT-0068,roadmap/TRANSPORTED_POSITION_DISTRIBUTION_TEMPLATE_20260617.csv,QCH,template_or_synthetic_not_evidence,REVIEW_ONLY_NOT_POLICY_EVIDENCE,template_or_synthetic_not_evidence; not direct evidence,Gate2X-QCH formal sidecar receipt
NODI-G2S-REJECT-0069,roadmap/TRANSPORTED_POSITION_SOURCE_SMOKE_COMBINED_RETRY3_20260621.csv,QCH,data_table_review_only,REVIEW_ONLY_NOT_POLICY_EVIDENCE,missing NODI-required binding/provenance fields: route_key|NODI_view|bin_basis|source_sha256|row_identity,Gate2X-QCH formal sidecar receipt
NODI-G2S-REJECT-0070,roadmap/COMSOL_GATE2C_BINDING_ALIGNMENT_ERRATA_20260628.md,QCH,document_or_unknown_review_only,REVIEW_ONLY_NOT_POLICY_EVIDENCE,missing NODI-required binding/provenance fields: route_key|NODI_view|diameter_nm|bin_basis|source_sha256|row_identity,Gate2X-QCH formal sidecar receipt
NODI-G2S-REJECT-0071,roadmap/COMSOL_GATE2D_REDUCED_SCOPE_CONTEXT_ONLY_CANDIDATE_PACKET_20260628.md,QCH,document_or_unknown_review_only,REVIEW_ONLY_NOT_POLICY_EVIDENCE,missing NODI-required binding/provenance fields: route_key|NODI_view|diameter_nm|bin_basis|source_sha256|row_identity,Gate2X-QCH formal sidecar receipt
NODI-G2S-REJECT-0072,roadmap/COMSOL_GATE2E_EDGE4_EDGE20_MINIMAL_DELIVERABLE_PACKET_20260628.md,EDGE,document_or_unknown_review_only,REVIEW_ONLY_NOT_POLICY_EVIDENCE,missing NODI-required binding/provenance fields: route_key|NODI_view|diameter_nm|bin_basis|source_sha256|row_identity,Gate2X-EDGE real evidence receipt
NODI-G2S-REJECT-0073,roadmap/COMSOL_GATE2E_EDGE4_EDGE20_POLICY_EVIDENCE_REQUIREMENTS_20260628.csv,EDGE,data_table_review_only,REVIEW_ONLY_NOT_POLICY_EVIDENCE,missing NODI-required binding/provenance fields: route_key|NODI_view|diameter_nm|bin_basis|source_sha256|row_identity,Gate2X-EDGE real evidence receipt
NODI-G2S-REJECT-0074,roadmap/COMSOL_GATE2E_QCH_FORMAL_SIDECAR_MINIMAL_TEMPLATE_20260628.csv,QCH,template_or_synthetic_not_evidence,REVIEW_ONLY_NOT_POLICY_EVIDENCE,template_or_synthetic_not_evidence; not direct evidence,Gate2X-QCH formal sidecar receipt
NODI-G2S-REJECT-0075,roadmap/COMSOL_GATE2E_QCH_FORMAL_SIDECAR_MOCK_GAP_ROWS_20260628.csv,QCH,data_table_review_only,REVIEW_ONLY_NOT_POLICY_EVIDENCE,missing NODI-required binding/provenance fields: source_sha256|row_identity,Gate2X-QCH formal sidecar receipt
NODI-G2S-REJECT-0076,roadmap/COMSOL_GATE2E_TPD_BINDING_REPAIR_MINIMAL_SKELETON_20260628.csv,BINDING,data_table_review_only,REVIEW_ONLY_NOT_POLICY_EVIDENCE,missing NODI-required binding/provenance fields: route_key|NODI_view|row_identity,Gate2X-BINDING repair receipt
NODI-G2S-REJECT-0077,roadmap/COMSOL_GATE2E_TPD_BINDING_REPAIR_PACKET_20260628.md,BINDING,document_or_unknown_review_only,REVIEW_ONLY_NOT_POLICY_EVIDENCE,missing NODI-required binding/provenance fields: route_key|NODI_view|diameter_nm|bin_basis|source_sha256|row_identity,Gate2X-BINDING repair receipt
NODI-G2S-REJECT-0078,roadmap/COMSOL_GATE2F_EDGE_LOSS_ERROR_SEMANTICS_CANDIDATE_20260628.csv,EDGE,data_table_review_only,REVIEW_ONLY_NOT_POLICY_EVIDENCE,missing NODI-required binding/provenance fields: route_key|NODI_view|diameter_nm|bin_basis|source_sha256|row_identity,Gate2X-EDGE real evidence receipt
NODI-G2S-REJECT-0079,roadmap/COMSOL_GATE2G_EDGE4_EDGE20_STRUCTURAL_COVERAGE_PROOF_PACKET_20260628.md,EDGE,document_or_unknown_review_only,REVIEW_ONLY_NOT_POLICY_EVIDENCE,missing NODI-required binding/provenance fields: route_key|NODI_view|diameter_nm|bin_basis|source_sha256|row_identity,Gate2X-EDGE real evidence receipt
NODI-G2S-REJECT-0080,roadmap/COMSOL_GATE2L_QCH_PACKAGE_CONTRACT_PACKET_20260628.md,QCH,document_or_unknown_review_only,REVIEW_ONLY_NOT_POLICY_EVIDENCE,missing NODI-required binding/provenance fields: route_key|NODI_view|diameter_nm|bin_basis|source_sha256|row_identity,Gate2X-QCH formal sidecar receipt
NODI-G2S-REJECT-0081,roadmap/COMSOL_GATE2N_TO_GATE2R_EXCHANGE_BUNDLE_RC1_MASTER_PACKET_20260628.md,QCH,document_or_unknown_review_only,REVIEW_ONLY_NOT_POLICY_EVIDENCE,missing NODI-required binding/provenance fields: route_key|NODI_view|diameter_nm|bin_basis|source_sha256|row_identity,Gate2X-QCH formal sidecar receipt
