harmonization_id,nodi_adapter_rule_id,comsol_adapter_rule_id,source_field,target_field,harmonization_class,adapter_action,safe_alias_rule,blocked_rule,requires_future_gate,policy_verdict_change_allowed,authorization_promotion_allowed
G6D-HARM-0021,G5D-NODI-GAP-0021,G5C-ADAPT-GAP-021,expected_label,expected_nodi_disposition,common_rules,map unknown COMSOL negative-control label to NODI review/preauth vocabulary; retain not_evidence and no authorization,true,false,false,false,false
G6D-HARM-0022,G5D-NODI-GAP-0022,G5C-ADAPT-GAP-022,expected_label,expected_nodi_disposition,common_rules,map unknown COMSOL negative-control label to NODI review/preauth vocabulary; retain not_evidence and no authorization,true,false,false,false,false
G6D-HARM-0023,G5D-NODI-GAP-0023,G5C-ADAPT-GAP-023,expected_label,expected_nodi_disposition,common_rules,map unknown COMSOL negative-control label to NODI review/preauth vocabulary; retain not_evidence and no authorization,true,false,false,false,false
G6D-HARM-0024,G5D-NODI-GAP-0024,G5C-ADAPT-GAP-024,expected_label,expected_nodi_disposition,common_rules,map unknown COMSOL negative-control label to NODI review/preauth vocabulary; retain not_evidence and no authorization,true,false,false,false,false
G6D-HARM-0025,G5D-COMSOL-RULE-0001,G5C-ADAPT-COMSOL-001,D_nm,D_nm,common_rules,normalize naming/path only; no semantic promotion,true,false,false,false,false
G6D-HARM-0026,G5D-COMSOL-RULE-0002,G5C-ADAPT-COMSOL-002,NODI_view,NODI_view,common_rules,normalize naming/path only; no semantic promotion,true,false,false,false,false
G6D-HARM-0027,G5D-COMSOL-RULE-0003,G5C-ADAPT-COMSOL-003,NODI_view_binding_policy,NODI_view_binding_policy,common_rules,normalize naming/path only; no semantic promotion,true,false,false,false,false
G6D-HARM-0028,G5D-COMSOL-RULE-0004,G5C-ADAPT-COMSOL-004,NODI_view_binding_status,NODI_view_binding_status,common_rules,normalize naming/path only; no semantic promotion,true,false,false,false,false
G6D-HARM-0029,G5D-COMSOL-RULE-0005,G5C-ADAPT-COMSOL-005,NODI_view_current,NODI_view_current,common_rules,normalize naming/path only; no semantic promotion,true,false,false,false,false
G6D-HARM-0030,G5D-COMSOL-RULE-0006,G5C-ADAPT-COMSOL-006,NODI_view_status,NODI_view_status,common_rules,normalize naming/path only; no semantic promotion,true,false,false,false,false
G6D-HARM-0031,G5D-COMSOL-RULE-0007,G5C-ADAPT-COMSOL-007,PRS_exact_match_claim,PRS_exact_match_claim,common_rules,normalize naming/path only; no semantic promotion,true,false,false,false,false
G6D-HARM-0032,G5D-COMSOL-RULE-0008,G5C-ADAPT-COMSOL-008,UNBOUND_reason_if_any,UNBOUND_reason_if_any,common_rules,normalize naming/path only; no semantic promotion,true,false,false,false,false
G6D-HARM-0033,G5D-COMSOL-RULE-0009,G5C-ADAPT-COMSOL-009,W_nominal_nm,W_nominal_nm,common_rules,normalize naming/path only; no semantic promotion,true,false,false,false,false
G6D-HARM-0034,G5D-COMSOL-RULE-0010,G5C-ADAPT-COMSOL-010,accepted_context_authorized,accepted_context_authorized,common_rules,normalize naming/path only; no semantic promotion,true,false,false,false,false
G6D-HARM-0035,G5D-COMSOL-RULE-0011,G5C-ADAPT-COMSOL-011,accepted_row_expansion_authorized,accepted_row_expansion_authorized,common_rules,normalize naming/path only; no semantic promotion,true,false,false,false,false
G6D-HARM-0036,G5D-COMSOL-RULE-0012,G5C-ADAPT-COMSOL-012,affected_rows,affected_rows,common_rules,normalize naming/path only; no semantic promotion,true,false,false,false,false
G6D-HARM-0037,G5D-COMSOL-RULE-0013,G5C-ADAPT-COMSOL-013,aggregation_error_bound_status,aggregation_error_bound_status,common_rules,normalize naming/path only; no semantic promotion,true,false,false,false,false
G6D-HARM-0038,G5D-COMSOL-RULE-0014,G5C-ADAPT-COMSOL-014,aggregation_rule,aggregation_rule,common_rules,normalize naming/path only; no semantic promotion,true,false,false,false,false
G6D-HARM-0039,G5D-COMSOL-RULE-0015,G5C-ADAPT-COMSOL-015,allowed_use,allowed_use,common_rules,normalize naming/path only; no semantic promotion,true,false,false,false,false
G6D-HARM-0040,G5D-COMSOL-RULE-0016,G5C-ADAPT-COMSOL-016,allowed_value_or_domain,allowed_value_or_domain,common_rules,normalize naming/path only; no semantic promotion,true,false,false,false,false
G6D-HARM-0041,G5D-COMSOL-RULE-0017,G5C-ADAPT-COMSOL-017,artifact_id,artifact_id,common_rules,normalize naming/path only; no semantic promotion,true,false,false,false,false
G6D-HARM-0042,G5D-COMSOL-RULE-0018,G5C-ADAPT-COMSOL-018,artifact_level_context_candidate,artifact_level_context_candidate,common_rules,normalize naming/path only; no semantic promotion,true,false,false,false,false
G6D-HARM-0043,G5D-COMSOL-RULE-0019,G5C-ADAPT-COMSOL-019,artifact_path,artifact_path,common_rules,normalize naming/path only; no semantic promotion,true,false,false,false,false
G6D-HARM-0044,G5D-COMSOL-RULE-0020,G5C-ADAPT-COMSOL-020,authorization_flags_false,authorization_flags_false,common_rules,normalize naming/path only; no semantic promotion,true,false,false,false,false
G6D-HARM-0045,G5D-COMSOL-RULE-0021,,authorized,authorized,nodi_receiver_only_rules,field_or_label_normalization,true,false,false,false,false
G6D-HARM-0046,G5D-COMSOL-RULE-0022,,auto_map_authorized,auto_map_authorized,nodi_receiver_only_rules,field_or_label_normalization,true,false,false,false,false
G6D-HARM-0047,G5D-COMSOL-RULE-0023,,bin_basis,bin_basis,nodi_receiver_only_rules,field_or_label_normalization,true,false,false,false,false
G6D-HARM-0048,G5D-COMSOL-RULE-0024,,bin_coverage,bin_coverage,nodi_receiver_only_rules,field_or_label_normalization,true,false,false,false,false
G6D-HARM-0049,G5D-COMSOL-RULE-0025,,bin_id,bin_id,nodi_receiver_only_rules,field_or_label_normalization,true,false,false,false,false
G6D-HARM-0050,G5D-COMSOL-RULE-0026,,binding_blocker,binding_blocker,nodi_receiver_only_rules,field_or_label_normalization,true,false,false,false,false
G6D-HARM-0051,G5D-COMSOL-RULE-0027,,binding_fail_closed,binding_fail_closed,nodi_receiver_only_rules,field_or_label_normalization,true,false,false,false,false
G6D-HARM-0052,G5D-COMSOL-RULE-0028,,binding_repair_row_id,binding_repair_row_id,nodi_receiver_only_rules,field_or_label_normalization,true,false,false,false,false
G6D-HARM-0053,G5D-COMSOL-RULE-0029,,binding_template_row_id,binding_template_row_id,nodi_receiver_only_rules,field_or_label_normalization,true,false,false,false,false
G6D-HARM-0054,G5D-COMSOL-RULE-0030,,blocked_class,blocked_class,nodi_receiver_only_rules,field_or_label_normalization,true,false,false,false,false
G6D-HARM-0055,G5D-COMSOL-RULE-0031,,blocked_until,blocked_until,nodi_receiver_only_rules,field_or_label_normalization,true,false,false,false,false
G6D-HARM-0056,G5D-COMSOL-RULE-0032,,blocked_use,blocked_use,nodi_receiver_only_rules,field_or_label_normalization,true,false,false,false,false
G6D-HARM-0057,G5D-COMSOL-RULE-0033,,blocker_id,blocker_id,nodi_receiver_only_rules,field_or_label_normalization,true,false,false,false,false
G6D-HARM-0058,G5D-COMSOL-RULE-0034,,blocker_if_any,blocker_if_any,nodi_receiver_only_rules,field_or_label_normalization,true,false,false,false,false
G6D-HARM-0059,G5D-COMSOL-RULE-0035,,blocker_preserved,blocker_preserved,nodi_receiver_only_rules,field_or_label_normalization,true,false,false,false,false
G6D-HARM-0060,G5D-COMSOL-RULE-0036,,blocker_reason,blocker_reason,nodi_receiver_only_rules,field_or_label_normalization,true,false,false,false,false
G6D-HARM-0061,G5D-COMSOL-RULE-0037,,blocker_type,blocker_type,nodi_receiver_only_rules,field_or_label_normalization,true,false,false,false,false
G6D-HARM-0062,G5D-COMSOL-RULE-0038,,can_be_done_without_new_comsol_solve,can_be_done_without_new_comsol_solve,nodi_receiver_only_rules,field_or_label_normalization,true,false,false,false,false
G6D-HARM-0063,G5D-COMSOL-RULE-0039,,can_close_reason,can_close_reason,nodi_receiver_only_rules,field_or_label_normalization,true,false,false,false,false
G6D-HARM-0064,G5D-COMSOL-RULE-0040,,can_close_work_order,can_close_work_order,nodi_receiver_only_rules,field_or_label_normalization,true,false,false,false,false
G6D-HARM-0065,G5D-COMSOL-RULE-0041,,can_fix_without_new_comsol_solve,can_fix_without_new_comsol_solve,nodi_receiver_only_rules,field_or_label_normalization,true,false,false,false,false
G6D-HARM-0066,G5D-COMSOL-RULE-0042,,can_repair_without_new_solve,can_repair_without_new_solve,nodi_receiver_only_rules,field_or_label_normalization,true,false,false,false,false
G6D-HARM-0067,G5D-COMSOL-RULE-0043,,candidate_claim,candidate_claim,nodi_receiver_only_rules,field_or_label_normalization,true,false,false,false,false
G6D-HARM-0068,G5D-COMSOL-RULE-0044,,candidate_edge20_bins_covered,candidate_edge20_bins_covered,nodi_receiver_only_rules,field_or_label_normalization,true,false,false,false,false
G6D-HARM-0069,G5D-COMSOL-RULE-0045,,candidate_export_row_id,candidate_export_row_id,nodi_receiver_only_rules,field_or_label_normalization,true,false,false,false,false
G6D-HARM-0070,G5D-COMSOL-RULE-0046,,candidate_prs_edge20_end_1based,candidate_prs_edge20_end_1based,nodi_receiver_only_rules,field_or_label_normalization,true,false,false,false,false
G6D-HARM-0071,G5D-COMSOL-RULE-0047,,candidate_prs_edge20_ids,candidate_prs_edge20_ids,nodi_receiver_only_rules,field_or_label_normalization,true,false,false,false,false
G6D-HARM-0072,G5D-COMSOL-RULE-0048,,candidate_prs_edge20_start_1based,candidate_prs_edge20_start_1based,nodi_receiver_only_rules,field_or_label_normalization,true,false,false,false,false
G6D-HARM-0073,G5D-COMSOL-RULE-0049,,candidate_route_family,candidate_route_family,nodi_receiver_only_rules,field_or_label_normalization,true,false,false,false,false
G6D-HARM-0074,G5D-COMSOL-RULE-0050,,candidate_status,candidate_status,nodi_receiver_only_rules,field_or_label_normalization,true,false,false,false,false
G6D-HARM-0075,G5D-COMSOL-RULE-0051,,carry_forward_status,carry_forward_status,nodi_receiver_only_rules,field_or_label_normalization,true,false,false,false,false
G6D-HARM-0076,G5D-COMSOL-RULE-0052,,case_id,case_id,nodi_receiver_only_rules,field_or_label_normalization,true,false,false,false,false
G6D-HARM-0077,G5D-COMSOL-RULE-0053,,check_definition,check_definition,nodi_receiver_only_rules,field_or_label_normalization,true,false,false,false,false
G6D-HARM-0078,G5D-COMSOL-RULE-0054,,check_name,check_name,nodi_receiver_only_rules,field_or_label_normalization,true,false,false,false,false
G6D-HARM-0079,G5D-COMSOL-RULE-0055,,checks,checks,nodi_receiver_only_rules,field_or_label_normalization,true,false,false,false,false
G6D-HARM-0080,G5D-COMSOL-RULE-0056,,chi_selected_authorized,chi_selected_authorized,nodi_receiver_only_rules,field_or_label_normalization,true,false,false,false,false
G6D-HARM-0081,G5D-COMSOL-RULE-0057,,claim_boundary,claim_boundary,nodi_receiver_only_rules,field_or_label_normalization,true,false,false,false,false
G6D-HARM-0082,G5D-COMSOL-RULE-0058,,claim_promotion_authorized_now,claim_promotion_authorized_now,nodi_receiver_only_rules,field_or_label_normalization,true,false,false,false,false
G6D-HARM-0083,G5D-COMSOL-RULE-0059,,columns,columns,nodi_receiver_only_rules,field_or_label_normalization,true,false,false,false,false
G6D-HARM-0084,G5D-COMSOL-RULE-0060,,comsol_artifact_id,comsol_artifact_id,nodi_receiver_only_rules,field_or_label_normalization,true,false,false,false,false
G6D-HARM-0085,G5D-COMSOL-RULE-0061,,full_chip/dwg_analysis/gate2_nodi_interface_contract_lib_v2_20260628.py,full_chip/dwg_analysis/gate2_nodi_interface_contract_lib_v2_20260628.py,nodi_receiver_only_rules,field_or_label_normalization,true,false,false,false,false
G6D-HARM-0086,G5D-COMSOL-RULE-0062,,full_chip/dwg_analysis/build_gate2y_to_gate2ae_deep_dossier_audit_20260628.py,full_chip/dwg_analysis/build_gate2y_to_gate2ae_deep_dossier_audit_20260628.py,nodi_receiver_only_rules,field_or_label_normalization,true,false,false,false,false
G6D-HARM-0087,G5D-COMSOL-RULE-0063,,full_chip/dwg_analysis/validate_gate2y_to_gate2ae_deep_dossier_audit_20260628.py,full_chip/dwg_analysis/validate_gate2y_to_gate2ae_deep_dossier_audit_20260628.py,nodi_receiver_only_rules,field_or_label_normalization,true,false,false,false,false
G6D-HARM-0088,G5D-COMSOL-RULE-0064,,roadmap/COMSOL_GATE2Y_EXPANDED_CANDIDATE_FINGERPRINT_INDEX_20260628.csv,roadmap/COMSOL_GATE2Y_EXPANDED_CANDIDATE_FINGERPRINT_INDEX_20260628.csv,nodi_receiver_only_rules,field_or_label_normalization,true,false,false,false,false
G6D-HARM-0089,G5D-COMSOL-RULE-0065,,roadmap/COMSOL_GATE2Y_NODI_COMSOL_CENSUS_RECONCILIATION_20260628.csv,roadmap/COMSOL_GATE2Y_NODI_COMSOL_CENSUS_RECONCILIATION_20260628.csv,nodi_receiver_only_rules,field_or_label_normalization,true,false,false,false,false
G6D-HARM-0090,G5D-COMSOL-RULE-0066,,roadmap/COMSOL_GATE2Y_SCHEMA_FINGERPRINT_DIFF_REGISTER_20260628.csv,roadmap/COMSOL_GATE2Y_SCHEMA_FINGERPRINT_DIFF_REGISTER_20260628.csv,nodi_receiver_only_rules,field_or_label_normalization,true,false,false,false,false
G6D-HARM-0091,G5D-COMSOL-RULE-0067,,roadmap/COMSOL_GATE2Y_CLASSIFICATION_METHOD_DELTA_REGISTER_20260628.csv,roadmap/COMSOL_GATE2Y_CLASSIFICATION_METHOD_DELTA_REGISTER_20260628.csv,nodi_receiver_only_rules,field_or_label_normalization,true,false,false,false,false
G6D-HARM-0092,G5D-COMSOL-RULE-0068,,roadmap/COMSOL_GATE2Y_CROSS_CENSUS_RECONCILIATION_PACKET_20260628.md,roadmap/COMSOL_GATE2Y_CROSS_CENSUS_RECONCILIATION_PACKET_20260628.md,nodi_receiver_only_rules,field_or_label_normalization,true,false,false,false,false
G6D-HARM-0093,G5D-COMSOL-RULE-0069,,roadmap/COMSOL_GATE2Z_DEEP_EVIDENCE_DOSSIER_INDEX_20260628.csv,roadmap/COMSOL_GATE2Z_DEEP_EVIDENCE_DOSSIER_INDEX_20260628.csv,nodi_receiver_only_rules,field_or_label_normalization,true,false,false,false,false
G6D-HARM-0094,G5D-COMSOL-RULE-0070,,roadmap/COMSOL_GATE2Z_EDGE_CANDIDATE_DOSSIERS_20260628.csv,roadmap/COMSOL_GATE2Z_EDGE_CANDIDATE_DOSSIERS_20260628.csv,nodi_receiver_only_rules,field_or_label_normalization,true,false,false,false,false
G6D-HARM-0095,G5D-COMSOL-RULE-0071,,roadmap/COMSOL_GATE2Z_QCH_CANDIDATE_DOSSIERS_20260628.csv,roadmap/COMSOL_GATE2Z_QCH_CANDIDATE_DOSSIERS_20260628.csv,nodi_receiver_only_rules,field_or_label_normalization,true,false,false,false,false
G6D-HARM-0096,G5D-COMSOL-RULE-0072,,roadmap/COMSOL_GATE2Z_BINDING_CANDIDATE_DOSSIERS_20260628.csv,roadmap/COMSOL_GATE2Z_BINDING_CANDIDATE_DOSSIERS_20260628.csv,nodi_receiver_only_rules,field_or_label_normalization,true,false,false,false,false
G6D-HARM-0097,G5D-COMSOL-RULE-0073,,roadmap/COMSOL_GATE2Z_OTHER_REVIEW_ONLY_DOSSIERS_20260628.csv,roadmap/COMSOL_GATE2Z_OTHER_REVIEW_ONLY_DOSSIERS_20260628.csv,nodi_receiver_only_rules,field_or_label_normalization,true,false,false,false,false
G6D-HARM-0098,G5D-COMSOL-RULE-0074,,roadmap/COMSOL_GATE2Z_DEEP_EVIDENCE_DOSSIER_PACKET_20260628.md,roadmap/COMSOL_GATE2Z_DEEP_EVIDENCE_DOSSIER_PACKET_20260628.md,nodi_receiver_only_rules,field_or_label_normalization,true,false,false,false,false
G6D-HARM-0099,G5D-COMSOL-RULE-0075,,roadmap/COMSOL_GATE2AA_LINEAGE_CLOSURE_TRIALS_20260628.csv,roadmap/COMSOL_GATE2AA_LINEAGE_CLOSURE_TRIALS_20260628.csv,nodi_receiver_only_rules,field_or_label_normalization,true,false,false,false,false
G6D-HARM-0100,G5D-COMSOL-RULE-0076,,roadmap/COMSOL_GATE2AA_EDGE_CLOSURE_TRIALS_20260628.csv,roadmap/COMSOL_GATE2AA_EDGE_CLOSURE_TRIALS_20260628.csv,nodi_receiver_only_rules,field_or_label_normalization,true,false,false,false,false
G6D-HARM-0101,G5D-COMSOL-RULE-0077,,roadmap/COMSOL_GATE2AA_QCH_CLOSURE_TRIALS_20260628.csv,roadmap/COMSOL_GATE2AA_QCH_CLOSURE_TRIALS_20260628.csv,nodi_receiver_only_rules,field_or_label_normalization,true,false,false,false,false
G6D-HARM-0102,G5D-COMSOL-RULE-0078,,roadmap/COMSOL_GATE2AA_BINDING_CLOSURE_TRIALS_20260628.csv,roadmap/COMSOL_GATE2AA_BINDING_CLOSURE_TRIALS_20260628.csv,nodi_receiver_only_rules,field_or_label_normalization,true,false,false,false,false
G6D-HARM-0103,G5D-COMSOL-RULE-0079,,roadmap/COMSOL_GATE2AA_CLOSURE_TRIAL_BLOCKER_REGISTER_20260628.csv,roadmap/COMSOL_GATE2AA_CLOSURE_TRIAL_BLOCKER_REGISTER_20260628.csv,nodi_receiver_only_rules,field_or_label_normalization,true,false,false,false,false
G6D-HARM-0104,G5D-COMSOL-RULE-0080,,roadmap/COMSOL_GATE2AA_LINEAGE_CLOSURE_TRIAL_PACKET_20260628.md,roadmap/COMSOL_GATE2AA_LINEAGE_CLOSURE_TRIAL_PACKET_20260628.md,nodi_receiver_only_rules,field_or_label_normalization,true,false,false,false,false
G6D-HARM-0105,,G5C-ADAPT-RULE-001,expected_nodi_disposition,disposition,comsol_producer_only_rules,label normalization only,true,false,false,false,false
G6D-HARM-0106,,G5C-ADAPT-RULE-002,forbidden_auth_flag_state,formula_use_authorized,comsol_producer_only_rules,hard-fail trigger,true,false,false,false,false
G6D-HARM-0107,,G5C-ADAPT-RULE-003,probe_category,row_kind/disposition routing,comsol_producer_only_rules,schema routing,true,false,false,false,false
G6D-HARM-0108,,G5C-ADAPT-RULE-004,not_evidence/template_only,not_evidence/template_only,comsol_producer_only_rules,must remain true,true,false,false,false,false
