dry_run_id,source_side,source_row_id,row_kind,workstream,disposition,reason,required_next_gate,allowed_use,blocked_use,human_review_required,future_authorization_required,evidence_accepted,gate2d_ledger_expansion
G3C-DOSSIER-0011,COMSOL,G2Z-DOSSIER-0011,dossier,EDGE,PREAUTH_REQUIRED,dossier/trial requires future pre-authorization before evidence intake,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,pre-authorization review preparation,evidence acceptance; formula; weighting; JRC; production/runtime,true,true,false,false
G3C-DOSSIER-0012,COMSOL,G2Z-DOSSIER-0012,dossier,EDGE,PREAUTH_REQUIRED,dossier/trial requires future pre-authorization before evidence intake,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,pre-authorization review preparation,evidence acceptance; formula; weighting; JRC; production/runtime,true,true,false,false
G3C-DOSSIER-0013,COMSOL,G2Z-DOSSIER-0013,dossier,EDGE,PREAUTH_REQUIRED,dossier/trial requires future pre-authorization before evidence intake,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,pre-authorization review preparation,evidence acceptance; formula; weighting; JRC; production/runtime,true,true,false,false
G3C-DOSSIER-0014,COMSOL,G2Z-DOSSIER-0014,dossier,EDGE,PREAUTH_REQUIRED,dossier/trial requires future pre-authorization before evidence intake,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,pre-authorization review preparation,evidence acceptance; formula; weighting; JRC; production/runtime,true,true,false,false
G3C-DOSSIER-0015,COMSOL,G2Z-DOSSIER-0015,dossier,EDGE,PREAUTH_REQUIRED,dossier/trial requires future pre-authorization before evidence intake,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,pre-authorization review preparation,evidence acceptance; formula; weighting; JRC; production/runtime,true,true,false,false
G3C-DOSSIER-0016,COMSOL,G2Z-DOSSIER-0016,dossier,EDGE,PREAUTH_REQUIRED,dossier/trial requires future pre-authorization before evidence intake,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,pre-authorization review preparation,evidence acceptance; formula; weighting; JRC; production/runtime,true,true,false,false
G3C-DOSSIER-0017,COMSOL,G2Z-DOSSIER-0017,dossier,EDGE,PREAUTH_REQUIRED,dossier/trial requires future pre-authorization before evidence intake,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,pre-authorization review preparation,evidence acceptance; formula; weighting; JRC; production/runtime,true,true,false,false
G3C-DOSSIER-0018,COMSOL,G2Z-DOSSIER-0018,dossier,EDGE,PREAUTH_REQUIRED,dossier/trial requires future pre-authorization before evidence intake,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,pre-authorization review preparation,evidence acceptance; formula; weighting; JRC; production/runtime,true,true,false,false
G3C-DOSSIER-0020,COMSOL,G2Z-DOSSIER-0020,dossier,EDGE,PREAUTH_REQUIRED,dossier/trial requires future pre-authorization before evidence intake,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,pre-authorization review preparation,evidence acceptance; formula; weighting; JRC; production/runtime,true,true,false,false
G3C-DOSSIER-0021,COMSOL,G2Z-DOSSIER-0021,dossier,EDGE,PREAUTH_REQUIRED,dossier/trial requires future pre-authorization before evidence intake,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,pre-authorization review preparation,evidence acceptance; formula; weighting; JRC; production/runtime,true,true,false,false
G3C-DOSSIER-0022,COMSOL,G2Z-DOSSIER-0022,dossier,EDGE,PREAUTH_REQUIRED,dossier/trial requires future pre-authorization before evidence intake,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,pre-authorization review preparation,evidence acceptance; formula; weighting; JRC; production/runtime,true,true,false,false
G3C-DOSSIER-0023,COMSOL,G2Z-DOSSIER-0023,dossier,EDGE,PREAUTH_REQUIRED,dossier/trial requires future pre-authorization before evidence intake,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,pre-authorization review preparation,evidence acceptance; formula; weighting; JRC; production/runtime,true,true,false,false
G3C-DOSSIER-0024,COMSOL,G2Z-DOSSIER-0024,dossier,EDGE,PREAUTH_REQUIRED,dossier/trial requires future pre-authorization before evidence intake,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,pre-authorization review preparation,evidence acceptance; formula; weighting; JRC; production/runtime,true,true,false,false
G3C-DOSSIER-0025,COMSOL,G2Z-DOSSIER-0025,dossier,EDGE,PREAUTH_REQUIRED,dossier/trial requires future pre-authorization before evidence intake,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,pre-authorization review preparation,evidence acceptance; formula; weighting; JRC; production/runtime,true,true,false,false
G3C-DOSSIER-0026,COMSOL,G2Z-DOSSIER-0026,dossier,EDGE,PREAUTH_REQUIRED,dossier/trial requires future pre-authorization before evidence intake,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,pre-authorization review preparation,evidence acceptance; formula; weighting; JRC; production/runtime,true,true,false,false
G3C-DOSSIER-0028,COMSOL,G2Z-DOSSIER-0028,dossier,EDGE,PREAUTH_REQUIRED,dossier/trial requires future pre-authorization before evidence intake,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,pre-authorization review preparation,evidence acceptance; formula; weighting; JRC; production/runtime,true,true,false,false
G3C-DOSSIER-0029,COMSOL,G2Z-DOSSIER-0029,dossier,EDGE,PREAUTH_REQUIRED,dossier/trial requires future pre-authorization before evidence intake,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,pre-authorization review preparation,evidence acceptance; formula; weighting; JRC; production/runtime,true,true,false,false
G3C-DOSSIER-0030,COMSOL,G2Z-DOSSIER-0030,dossier,EDGE,PREAUTH_REQUIRED,dossier/trial requires future pre-authorization before evidence intake,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,pre-authorization review preparation,evidence acceptance; formula; weighting; JRC; production/runtime,true,true,false,false
G3C-DOSSIER-0031,COMSOL,G2Z-DOSSIER-0031,dossier,EDGE,PREAUTH_REQUIRED,dossier/trial requires future pre-authorization before evidence intake,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,pre-authorization review preparation,evidence acceptance; formula; weighting; JRC; production/runtime,true,true,false,false
G3C-DOSSIER-0032,COMSOL,G2Z-DOSSIER-0032,dossier,EDGE,PREAUTH_REQUIRED,dossier/trial requires future pre-authorization before evidence intake,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,pre-authorization review preparation,evidence acceptance; formula; weighting; JRC; production/runtime,true,true,false,false
G3C-DOSSIER-0033,COMSOL,G2Z-DOSSIER-0033,dossier,EDGE,PREAUTH_REQUIRED,dossier/trial requires future pre-authorization before evidence intake,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,pre-authorization review preparation,evidence acceptance; formula; weighting; JRC; production/runtime,true,true,false,false
G3C-DOSSIER-0034,COMSOL,G2Z-DOSSIER-0034,dossier,EDGE,PREAUTH_REQUIRED,dossier/trial requires future pre-authorization before evidence intake,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,pre-authorization review preparation,evidence acceptance; formula; weighting; JRC; production/runtime,true,true,false,false
G3C-DOSSIER-0035,COMSOL,G2Z-DOSSIER-0035,dossier,EDGE,PREAUTH_REQUIRED,dossier/trial requires future pre-authorization before evidence intake,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,pre-authorization review preparation,evidence acceptance; formula; weighting; JRC; production/runtime,true,true,false,false
G3C-DOSSIER-0036,COMSOL,G2Z-DOSSIER-0036,dossier,EDGE,PREAUTH_REQUIRED,dossier/trial requires future pre-authorization before evidence intake,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,pre-authorization review preparation,evidence acceptance; formula; weighting; JRC; production/runtime,true,true,false,false
G3C-DOSSIER-0037,COMSOL,G2Z-DOSSIER-0037,dossier,EDGE,PREAUTH_REQUIRED,dossier/trial requires future pre-authorization before evidence intake,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,pre-authorization review preparation,evidence acceptance; formula; weighting; JRC; production/runtime,true,true,false,false
G3C-DOSSIER-0038,COMSOL,G2Z-DOSSIER-0038,dossier,EDGE,PREAUTH_REQUIRED,dossier/trial requires future pre-authorization before evidence intake,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,pre-authorization review preparation,evidence acceptance; formula; weighting; JRC; production/runtime,true,true,false,false
G3C-DOSSIER-0039,COMSOL,G2Z-DOSSIER-0039,dossier,EDGE,PREAUTH_REQUIRED,dossier/trial requires future pre-authorization before evidence intake,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,pre-authorization review preparation,evidence acceptance; formula; weighting; JRC; production/runtime,true,true,false,false
G3C-DOSSIER-0040,COMSOL,G2Z-DOSSIER-0040,dossier,EDGE,PREAUTH_REQUIRED,dossier/trial requires future pre-authorization before evidence intake,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,pre-authorization review preparation,evidence acceptance; formula; weighting; JRC; production/runtime,true,true,false,false
G3C-DOSSIER-0041,COMSOL,G2Z-DOSSIER-0041,dossier,EDGE,REJECT_BLOCKED,row is blocked or fail-closed under current receiver policy,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,blocker tracking only,evidence acceptance; policy approval; formula; production/runtime,true,true,false,false
G3C-DOSSIER-0042,COMSOL,G2Z-DOSSIER-0042,dossier,EDGE,PREAUTH_REQUIRED,dossier/trial requires future pre-authorization before evidence intake,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,pre-authorization review preparation,evidence acceptance; formula; weighting; JRC; production/runtime,true,true,false,false
G3C-DOSSIER-0043,COMSOL,G2Z-DOSSIER-0043,dossier,EDGE,PREAUTH_REQUIRED,dossier/trial requires future pre-authorization before evidence intake,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,pre-authorization review preparation,evidence acceptance; formula; weighting; JRC; production/runtime,true,true,false,false
G3C-DOSSIER-0044,COMSOL,G2Z-DOSSIER-0044,dossier,EDGE,PREAUTH_REQUIRED,dossier/trial requires future pre-authorization before evidence intake,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,pre-authorization review preparation,evidence acceptance; formula; weighting; JRC; production/runtime,true,true,false,false
G3C-DOSSIER-0045,COMSOL,G2Z-DOSSIER-0045,dossier,EDGE,PREAUTH_REQUIRED,dossier/trial requires future pre-authorization before evidence intake,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,pre-authorization review preparation,evidence acceptance; formula; weighting; JRC; production/runtime,true,true,false,false
G3C-DOSSIER-0046,COMSOL,G2Z-DOSSIER-0046,dossier,EDGE,PREAUTH_REQUIRED,dossier/trial requires future pre-authorization before evidence intake,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,pre-authorization review preparation,evidence acceptance; formula; weighting; JRC; production/runtime,true,true,false,false
G3C-DOSSIER-0047,COMSOL,G2Z-DOSSIER-0047,dossier,EDGE,PREAUTH_REQUIRED,dossier/trial requires future pre-authorization before evidence intake,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,pre-authorization review preparation,evidence acceptance; formula; weighting; JRC; production/runtime,true,true,false,false
G3C-DOSSIER-0048,COMSOL,G2Z-DOSSIER-0048,dossier,EDGE,PREAUTH_REQUIRED,dossier/trial requires future pre-authorization before evidence intake,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,pre-authorization review preparation,evidence acceptance; formula; weighting; JRC; production/runtime,true,true,false,false
G3C-DOSSIER-0049,COMSOL,G2Z-DOSSIER-0049,dossier,EDGE,PREAUTH_REQUIRED,dossier/trial requires future pre-authorization before evidence intake,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,pre-authorization review preparation,evidence acceptance; formula; weighting; JRC; production/runtime,true,true,false,false
G3C-DOSSIER-0050,COMSOL,G2Z-DOSSIER-0050,dossier,EDGE,PREAUTH_REQUIRED,dossier/trial requires future pre-authorization before evidence intake,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,pre-authorization review preparation,evidence acceptance; formula; weighting; JRC; production/runtime,true,true,false,false
G3C-DOSSIER-0051,COMSOL,G2Z-DOSSIER-0051,dossier,EDGE,PREAUTH_REQUIRED,dossier/trial requires future pre-authorization before evidence intake,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,pre-authorization review preparation,evidence acceptance; formula; weighting; JRC; production/runtime,true,true,false,false
G3C-DOSSIER-0052,COMSOL,G2Z-DOSSIER-0052,dossier,EDGE,PREAUTH_REQUIRED,dossier/trial requires future pre-authorization before evidence intake,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,pre-authorization review preparation,evidence acceptance; formula; weighting; JRC; production/runtime,true,true,false,false
G3C-DOSSIER-0053,COMSOL,G2Z-DOSSIER-0053,dossier,EDGE,PREAUTH_REQUIRED,dossier/trial requires future pre-authorization before evidence intake,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,pre-authorization review preparation,evidence acceptance; formula; weighting; JRC; production/runtime,true,true,false,false
G3C-DOSSIER-0054,COMSOL,G2Z-DOSSIER-0054,dossier,EDGE,PREAUTH_REQUIRED,dossier/trial requires future pre-authorization before evidence intake,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,pre-authorization review preparation,evidence acceptance; formula; weighting; JRC; production/runtime,true,true,false,false
G3C-DOSSIER-0055,COMSOL,G2Z-DOSSIER-0055,dossier,EDGE,PREAUTH_REQUIRED,dossier/trial requires future pre-authorization before evidence intake,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,pre-authorization review preparation,evidence acceptance; formula; weighting; JRC; production/runtime,true,true,false,false
G3C-DOSSIER-0056,COMSOL,G2Z-DOSSIER-0056,dossier,EDGE,PREAUTH_REQUIRED,dossier/trial requires future pre-authorization before evidence intake,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,pre-authorization review preparation,evidence acceptance; formula; weighting; JRC; production/runtime,true,true,false,false
G3C-DOSSIER-0057,COMSOL,G2Z-DOSSIER-0057,dossier,EDGE,PREAUTH_REQUIRED,dossier/trial requires future pre-authorization before evidence intake,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,pre-authorization review preparation,evidence acceptance; formula; weighting; JRC; production/runtime,true,true,false,false
G3C-DOSSIER-0058,COMSOL,G2Z-DOSSIER-0058,dossier,EDGE,PREAUTH_REQUIRED,dossier/trial requires future pre-authorization before evidence intake,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,pre-authorization review preparation,evidence acceptance; formula; weighting; JRC; production/runtime,true,true,false,false
G3C-DOSSIER-0059,COMSOL,G2Z-DOSSIER-0059,dossier,EDGE,PREAUTH_REQUIRED,dossier/trial requires future pre-authorization before evidence intake,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,pre-authorization review preparation,evidence acceptance; formula; weighting; JRC; production/runtime,true,true,false,false
G3C-DOSSIER-0060,COMSOL,G2Z-DOSSIER-0060,dossier,EDGE,PREAUTH_REQUIRED,dossier/trial requires future pre-authorization before evidence intake,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,pre-authorization review preparation,evidence acceptance; formula; weighting; JRC; production/runtime,true,true,false,false
G3C-DOSSIER-0061,COMSOL,G2Z-DOSSIER-0061,dossier,QCH,PREAUTH_REQUIRED,dossier/trial requires future pre-authorization before evidence intake,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,pre-authorization review preparation,evidence acceptance; formula; weighting; JRC; production/runtime,true,true,false,false
G3C-DOSSIER-0063,COMSOL,G2Z-DOSSIER-0063,dossier,QCH,REJECT_BLOCKED,row is blocked or fail-closed under current receiver policy,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,blocker tracking only,evidence acceptance; policy approval; formula; production/runtime,true,true,false,false
G3C-DOSSIER-0064,COMSOL,G2Z-DOSSIER-0064,dossier,QCH,PREAUTH_REQUIRED,dossier/trial requires future pre-authorization before evidence intake,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,pre-authorization review preparation,evidence acceptance; formula; weighting; JRC; production/runtime,true,true,false,false
G3C-DOSSIER-0065,COMSOL,G2Z-DOSSIER-0065,dossier,QCH,PREAUTH_REQUIRED,dossier/trial requires future pre-authorization before evidence intake,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,pre-authorization review preparation,evidence acceptance; formula; weighting; JRC; production/runtime,true,true,false,false
G3C-DOSSIER-0066,COMSOL,G2Z-DOSSIER-0066,dossier,QCH,PREAUTH_REQUIRED,dossier/trial requires future pre-authorization before evidence intake,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,pre-authorization review preparation,evidence acceptance; formula; weighting; JRC; production/runtime,true,true,false,false
G3C-DOSSIER-0067,COMSOL,G2Z-DOSSIER-0067,dossier,QCH,PREAUTH_REQUIRED,dossier/trial requires future pre-authorization before evidence intake,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,pre-authorization review preparation,evidence acceptance; formula; weighting; JRC; production/runtime,true,true,false,false
G3C-DOSSIER-0068,COMSOL,G2Z-DOSSIER-0068,dossier,QCH,PREAUTH_REQUIRED,dossier/trial requires future pre-authorization before evidence intake,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,pre-authorization review preparation,evidence acceptance; formula; weighting; JRC; production/runtime,true,true,false,false
G3C-DOSSIER-0069,COMSOL,G2Z-DOSSIER-0069,dossier,QCH,PREAUTH_REQUIRED,dossier/trial requires future pre-authorization before evidence intake,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,pre-authorization review preparation,evidence acceptance; formula; weighting; JRC; production/runtime,true,true,false,false
G3C-DOSSIER-0070,COMSOL,G2Z-DOSSIER-0070,dossier,QCH,PREAUTH_REQUIRED,dossier/trial requires future pre-authorization before evidence intake,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,pre-authorization review preparation,evidence acceptance; formula; weighting; JRC; production/runtime,true,true,false,false
G3C-DOSSIER-0071,COMSOL,G2Z-DOSSIER-0071,dossier,QCH,PREAUTH_REQUIRED,dossier/trial requires future pre-authorization before evidence intake,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,pre-authorization review preparation,evidence acceptance; formula; weighting; JRC; production/runtime,true,true,false,false
G3C-DOSSIER-0073,COMSOL,G2Z-DOSSIER-0073,dossier,QCH,PREAUTH_REQUIRED,dossier/trial requires future pre-authorization before evidence intake,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,pre-authorization review preparation,evidence acceptance; formula; weighting; JRC; production/runtime,true,true,false,false
G3C-DOSSIER-0074,COMSOL,G2Z-DOSSIER-0074,dossier,QCH,PREAUTH_REQUIRED,dossier/trial requires future pre-authorization before evidence intake,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,pre-authorization review preparation,evidence acceptance; formula; weighting; JRC; production/runtime,true,true,false,false
G3C-DOSSIER-0075,COMSOL,G2Z-DOSSIER-0075,dossier,QCH,PREAUTH_REQUIRED,dossier/trial requires future pre-authorization before evidence intake,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,pre-authorization review preparation,evidence acceptance; formula; weighting; JRC; production/runtime,true,true,false,false
G3C-DOSSIER-0076,COMSOL,G2Z-DOSSIER-0076,dossier,QCH,PREAUTH_REQUIRED,dossier/trial requires future pre-authorization before evidence intake,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,pre-authorization review preparation,evidence acceptance; formula; weighting; JRC; production/runtime,true,true,false,false
G3C-DOSSIER-0077,COMSOL,G2Z-DOSSIER-0077,dossier,QCH,REJECT_BLOCKED,row is blocked or fail-closed under current receiver policy,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,blocker tracking only,evidence acceptance; policy approval; formula; production/runtime,true,true,false,false
G3C-DOSSIER-0078,COMSOL,G2Z-DOSSIER-0078,dossier,QCH,PREAUTH_REQUIRED,dossier/trial requires future pre-authorization before evidence intake,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,pre-authorization review preparation,evidence acceptance; formula; weighting; JRC; production/runtime,true,true,false,false
G3C-DOSSIER-0079,COMSOL,G2Z-DOSSIER-0079,dossier,QCH,PREAUTH_REQUIRED,dossier/trial requires future pre-authorization before evidence intake,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,pre-authorization review preparation,evidence acceptance; formula; weighting; JRC; production/runtime,true,true,false,false
G3C-DOSSIER-0080,COMSOL,G2Z-DOSSIER-0080,dossier,QCH,PREAUTH_REQUIRED,dossier/trial requires future pre-authorization before evidence intake,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,pre-authorization review preparation,evidence acceptance; formula; weighting; JRC; production/runtime,true,true,false,false
G3C-DOSSIER-0081,COMSOL,G2Z-DOSSIER-0081,dossier,QCH,PREAUTH_REQUIRED,dossier/trial requires future pre-authorization before evidence intake,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,pre-authorization review preparation,evidence acceptance; formula; weighting; JRC; production/runtime,true,true,false,false
G3C-DOSSIER-0082,COMSOL,G2Z-DOSSIER-0082,dossier,QCH,PREAUTH_REQUIRED,dossier/trial requires future pre-authorization before evidence intake,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,pre-authorization review preparation,evidence acceptance; formula; weighting; JRC; production/runtime,true,true,false,false
G3C-DOSSIER-0083,COMSOL,G2Z-DOSSIER-0083,dossier,QCH,PREAUTH_REQUIRED,dossier/trial requires future pre-authorization before evidence intake,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,pre-authorization review preparation,evidence acceptance; formula; weighting; JRC; production/runtime,true,true,false,false
G3C-DOSSIER-0084,COMSOL,G2Z-DOSSIER-0084,dossier,QCH,PREAUTH_REQUIRED,dossier/trial requires future pre-authorization before evidence intake,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,pre-authorization review preparation,evidence acceptance; formula; weighting; JRC; production/runtime,true,true,false,false
G3C-DOSSIER-0085,COMSOL,G2Z-DOSSIER-0085,dossier,QCH,PREAUTH_REQUIRED,dossier/trial requires future pre-authorization before evidence intake,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,pre-authorization review preparation,evidence acceptance; formula; weighting; JRC; production/runtime,true,true,false,false
G3C-DOSSIER-0086,COMSOL,G2Z-DOSSIER-0086,dossier,QCH,PREAUTH_REQUIRED,dossier/trial requires future pre-authorization before evidence intake,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,pre-authorization review preparation,evidence acceptance; formula; weighting; JRC; production/runtime,true,true,false,false
G3C-DOSSIER-0087,COMSOL,G2Z-DOSSIER-0087,dossier,QCH,PREAUTH_REQUIRED,dossier/trial requires future pre-authorization before evidence intake,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,pre-authorization review preparation,evidence acceptance; formula; weighting; JRC; production/runtime,true,true,false,false
G3C-DOSSIER-0088,COMSOL,G2Z-DOSSIER-0088,dossier,QCH,PREAUTH_REQUIRED,dossier/trial requires future pre-authorization before evidence intake,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,pre-authorization review preparation,evidence acceptance; formula; weighting; JRC; production/runtime,true,true,false,false
G3C-DOSSIER-0089,COMSOL,G2Z-DOSSIER-0089,dossier,QCH,PREAUTH_REQUIRED,dossier/trial requires future pre-authorization before evidence intake,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,pre-authorization review preparation,evidence acceptance; formula; weighting; JRC; production/runtime,true,true,false,false
G3C-DOSSIER-0090,COMSOL,G2Z-DOSSIER-0090,dossier,QCH,PREAUTH_REQUIRED,dossier/trial requires future pre-authorization before evidence intake,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,pre-authorization review preparation,evidence acceptance; formula; weighting; JRC; production/runtime,true,true,false,false
G3C-DOSSIER-0091,COMSOL,G2Z-DOSSIER-0091,dossier,QCH,PREAUTH_REQUIRED,dossier/trial requires future pre-authorization before evidence intake,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,pre-authorization review preparation,evidence acceptance; formula; weighting; JRC; production/runtime,true,true,false,false
