dry_run_id,source_side,source_row_id,row_kind,workstream,disposition,reason,required_next_gate,allowed_use,blocked_use,human_review_required,future_authorization_required,evidence_accepted,gate2d_ledger_expansion
G3C-TRIAL-0001,COMSOL,G2AA-TRIAL-0001,closure_trial,EDGE,REJECT_BLOCKED,row is blocked or fail-closed under current receiver policy,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,blocker tracking only,evidence acceptance; policy approval; formula; production/runtime,true,true,false,false
G3C-TRIAL-0012,COMSOL,G2AA-TRIAL-0012,closure_trial,EDGE,REJECT_BLOCKED,row is blocked or fail-closed under current receiver policy,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,blocker tracking only,evidence acceptance; policy approval; formula; production/runtime,true,true,false,false
G3C-TRIAL-0013,COMSOL,G2AA-TRIAL-0013,closure_trial,EDGE,REJECT_BLOCKED,row is blocked or fail-closed under current receiver policy,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,blocker tracking only,evidence acceptance; policy approval; formula; production/runtime,true,true,false,false
G3C-TRIAL-0014,COMSOL,G2AA-TRIAL-0014,closure_trial,EDGE,REJECT_BLOCKED,row is blocked or fail-closed under current receiver policy,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,blocker tracking only,evidence acceptance; policy approval; formula; production/runtime,true,true,false,false
G3C-TRIAL-0015,COMSOL,G2AA-TRIAL-0015,closure_trial,EDGE,REJECT_BLOCKED,row is blocked or fail-closed under current receiver policy,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,blocker tracking only,evidence acceptance; policy approval; formula; production/runtime,true,true,false,false
G3C-TRIAL-0016,COMSOL,G2AA-TRIAL-0016,closure_trial,EDGE,REJECT_BLOCKED,row is blocked or fail-closed under current receiver policy,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,blocker tracking only,evidence acceptance; policy approval; formula; production/runtime,true,true,false,false
G3C-TRIAL-0017,COMSOL,G2AA-TRIAL-0017,closure_trial,EDGE,REJECT_BLOCKED,row is blocked or fail-closed under current receiver policy,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,blocker tracking only,evidence acceptance; policy approval; formula; production/runtime,true,true,false,false
G3C-TRIAL-0018,COMSOL,G2AA-TRIAL-0018,closure_trial,EDGE,REJECT_BLOCKED,row is blocked or fail-closed under current receiver policy,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,blocker tracking only,evidence acceptance; policy approval; formula; production/runtime,true,true,false,false
G3C-TRIAL-0019,COMSOL,G2AA-TRIAL-0019,closure_trial,EDGE,REJECT_BLOCKED,row is blocked or fail-closed under current receiver policy,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,blocker tracking only,evidence acceptance; policy approval; formula; production/runtime,true,true,false,false
G3C-TRIAL-0020,COMSOL,G2AA-TRIAL-0020,closure_trial,EDGE,REJECT_BLOCKED,row is blocked or fail-closed under current receiver policy,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,blocker tracking only,evidence acceptance; policy approval; formula; production/runtime,true,true,false,false
G3C-TRIAL-0021,COMSOL,G2AA-TRIAL-0021,closure_trial,EDGE,REJECT_BLOCKED,row is blocked or fail-closed under current receiver policy,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,blocker tracking only,evidence acceptance; policy approval; formula; production/runtime,true,true,false,false
G3C-TRIAL-0022,COMSOL,G2AA-TRIAL-0022,closure_trial,EDGE,REJECT_BLOCKED,row is blocked or fail-closed under current receiver policy,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,blocker tracking only,evidence acceptance; policy approval; formula; production/runtime,true,true,false,false
G3C-TRIAL-0023,COMSOL,G2AA-TRIAL-0023,closure_trial,EDGE,REJECT_BLOCKED,row is blocked or fail-closed under current receiver policy,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,blocker tracking only,evidence acceptance; policy approval; formula; production/runtime,true,true,false,false
G3C-TRIAL-0024,COMSOL,G2AA-TRIAL-0024,closure_trial,EDGE,REJECT_BLOCKED,row is blocked or fail-closed under current receiver policy,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,blocker tracking only,evidence acceptance; policy approval; formula; production/runtime,true,true,false,false
G3C-TRIAL-0025,COMSOL,G2AA-TRIAL-0025,closure_trial,QCH,REJECT_BLOCKED,row is blocked or fail-closed under current receiver policy,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,blocker tracking only,evidence acceptance; policy approval; formula; production/runtime,true,true,false,false
G3C-TRIAL-0026,COMSOL,G2AA-TRIAL-0026,closure_trial,QCH,PREAUTH_REQUIRED,dossier/trial requires future pre-authorization before evidence intake,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,pre-authorization review preparation,evidence acceptance; formula; weighting; JRC; production/runtime,true,true,false,false
G3C-TRIAL-0027,COMSOL,G2AA-TRIAL-0027,closure_trial,QCH,REJECT_BLOCKED,row is blocked or fail-closed under current receiver policy,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,blocker tracking only,evidence acceptance; policy approval; formula; production/runtime,true,true,false,false
G3C-TRIAL-0028,COMSOL,G2AA-TRIAL-0028,closure_trial,QCH,REJECT_BLOCKED,row is blocked or fail-closed under current receiver policy,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,blocker tracking only,evidence acceptance; policy approval; formula; production/runtime,true,true,false,false
G3C-TRIAL-0029,COMSOL,G2AA-TRIAL-0029,closure_trial,QCH,REJECT_BLOCKED,row is blocked or fail-closed under current receiver policy,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,blocker tracking only,evidence acceptance; policy approval; formula; production/runtime,true,true,false,false
G3C-TRIAL-0030,COMSOL,G2AA-TRIAL-0030,closure_trial,QCH,REJECT_BLOCKED,row is blocked or fail-closed under current receiver policy,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,blocker tracking only,evidence acceptance; policy approval; formula; production/runtime,true,true,false,false
G3C-TRIAL-0031,COMSOL,G2AA-TRIAL-0031,closure_trial,QCH,REJECT_BLOCKED,row is blocked or fail-closed under current receiver policy,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,blocker tracking only,evidence acceptance; policy approval; formula; production/runtime,true,true,false,false
G3C-TRIAL-0032,COMSOL,G2AA-TRIAL-0032,closure_trial,QCH,REJECT_BLOCKED,row is blocked or fail-closed under current receiver policy,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,blocker tracking only,evidence acceptance; policy approval; formula; production/runtime,true,true,false,false
G3C-TRIAL-0033,COMSOL,G2AA-TRIAL-0033,closure_trial,QCH,REJECT_BLOCKED,row is blocked or fail-closed under current receiver policy,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,blocker tracking only,evidence acceptance; policy approval; formula; production/runtime,true,true,false,false
G3C-TRIAL-0034,COMSOL,G2AA-TRIAL-0034,closure_trial,QCH,REJECT_BLOCKED,row is blocked or fail-closed under current receiver policy,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,blocker tracking only,evidence acceptance; policy approval; formula; production/runtime,true,true,false,false
G3C-TRIAL-0035,COMSOL,G2AA-TRIAL-0035,closure_trial,QCH,REJECT_BLOCKED,row is blocked or fail-closed under current receiver policy,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,blocker tracking only,evidence acceptance; policy approval; formula; production/runtime,true,true,false,false
G3C-TRIAL-0036,COMSOL,G2AA-TRIAL-0036,closure_trial,QCH,REJECT_BLOCKED,row is blocked or fail-closed under current receiver policy,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,blocker tracking only,evidence acceptance; policy approval; formula; production/runtime,true,true,false,false
G3C-TRIAL-0037,COMSOL,G2AA-TRIAL-0037,closure_trial,QCH,REJECT_BLOCKED,row is blocked or fail-closed under current receiver policy,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,blocker tracking only,evidence acceptance; policy approval; formula; production/runtime,true,true,false,false
G3C-TRIAL-0038,COMSOL,G2AA-TRIAL-0038,closure_trial,QCH,REJECT_BLOCKED,row is blocked or fail-closed under current receiver policy,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,blocker tracking only,evidence acceptance; policy approval; formula; production/runtime,true,true,false,false
G3C-TRIAL-0039,COMSOL,G2AA-TRIAL-0039,closure_trial,QCH,REJECT_BLOCKED,row is blocked or fail-closed under current receiver policy,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,blocker tracking only,evidence acceptance; policy approval; formula; production/runtime,true,true,false,false
G3C-TRIAL-0040,COMSOL,G2AA-TRIAL-0040,closure_trial,QCH,REJECT_BLOCKED,row is blocked or fail-closed under current receiver policy,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,blocker tracking only,evidence acceptance; policy approval; formula; production/runtime,true,true,false,false
G3C-TRIAL-0041,COMSOL,G2AA-TRIAL-0041,closure_trial,QCH,REJECT_BLOCKED,row is blocked or fail-closed under current receiver policy,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,blocker tracking only,evidence acceptance; policy approval; formula; production/runtime,true,true,false,false
G3C-TRIAL-0042,COMSOL,G2AA-TRIAL-0042,closure_trial,QCH,REJECT_BLOCKED,row is blocked or fail-closed under current receiver policy,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,blocker tracking only,evidence acceptance; policy approval; formula; production/runtime,true,true,false,false
G3C-TRIAL-0043,COMSOL,G2AA-TRIAL-0043,closure_trial,BINDING,REJECT_BLOCKED,row is blocked or fail-closed under current receiver policy,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,blocker tracking only,evidence acceptance; policy approval; formula; production/runtime,true,true,false,false
G3C-TRIAL-0044,COMSOL,G2AA-TRIAL-0044,closure_trial,BINDING,REJECT_BLOCKED,row is blocked or fail-closed under current receiver policy,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,blocker tracking only,evidence acceptance; policy approval; formula; production/runtime,true,true,false,false
G3C-TRIAL-0045,COMSOL,G2AA-TRIAL-0045,closure_trial,BINDING,REJECT_BLOCKED,row is blocked or fail-closed under current receiver policy,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,blocker tracking only,evidence acceptance; policy approval; formula; production/runtime,true,true,false,false
G3C-TRIAL-0046,COMSOL,G2AA-TRIAL-0046,closure_trial,BINDING,REJECT_BLOCKED,row is blocked or fail-closed under current receiver policy,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,blocker tracking only,evidence acceptance; policy approval; formula; production/runtime,true,true,false,false
G3C-TRIAL-0047,COMSOL,G2AA-TRIAL-0047,closure_trial,BINDING,REJECT_BLOCKED,row is blocked or fail-closed under current receiver policy,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,blocker tracking only,evidence acceptance; policy approval; formula; production/runtime,true,true,false,false
G3C-TRIAL-0048,COMSOL,G2AA-TRIAL-0048,closure_trial,BINDING,REJECT_BLOCKED,row is blocked or fail-closed under current receiver policy,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,blocker tracking only,evidence acceptance; policy approval; formula; production/runtime,true,true,false,false
G3C-TRIAL-0049,COMSOL,G2AA-TRIAL-0049,closure_trial,BINDING,REJECT_BLOCKED,row is blocked or fail-closed under current receiver policy,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,blocker tracking only,evidence acceptance; policy approval; formula; production/runtime,true,true,false,false
G3C-TRIAL-0050,COMSOL,G2AA-TRIAL-0050,closure_trial,BINDING,REJECT_BLOCKED,row is blocked or fail-closed under current receiver policy,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,blocker tracking only,evidence acceptance; policy approval; formula; production/runtime,true,true,false,false
G3C-TRIAL-0051,COMSOL,G2AA-TRIAL-0051,closure_trial,BINDING,REJECT_BLOCKED,row is blocked or fail-closed under current receiver policy,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,blocker tracking only,evidence acceptance; policy approval; formula; production/runtime,true,true,false,false
G3C-TRIAL-0052,COMSOL,G2AA-TRIAL-0052,closure_trial,BINDING,REJECT_BLOCKED,row is blocked or fail-closed under current receiver policy,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,blocker tracking only,evidence acceptance; policy approval; formula; production/runtime,true,true,false,false
G3C-TRIAL-0053,COMSOL,G2AA-TRIAL-0053,closure_trial,BINDING,REJECT_BLOCKED,row is blocked or fail-closed under current receiver policy,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,blocker tracking only,evidence acceptance; policy approval; formula; production/runtime,true,true,false,false
G3C-TRIAL-0054,COMSOL,G2AA-TRIAL-0054,closure_trial,BINDING,REJECT_BLOCKED,row is blocked or fail-closed under current receiver policy,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,blocker tracking only,evidence acceptance; policy approval; formula; production/runtime,true,true,false,false
G3C-TRIAL-0055,COMSOL,G2AA-TRIAL-0055,closure_trial,BINDING,REJECT_BLOCKED,row is blocked or fail-closed under current receiver policy,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,blocker tracking only,evidence acceptance; policy approval; formula; production/runtime,true,true,false,false
G3C-TRIAL-0056,COMSOL,G2AA-TRIAL-0056,closure_trial,BINDING,REJECT_BLOCKED,row is blocked or fail-closed under current receiver policy,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,blocker tracking only,evidence acceptance; policy approval; formula; production/runtime,true,true,false,false
G3C-TRIAL-0057,COMSOL,G2AA-TRIAL-0057,closure_trial,BINDING,REJECT_BLOCKED,row is blocked or fail-closed under current receiver policy,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,blocker tracking only,evidence acceptance; policy approval; formula; production/runtime,true,true,false,false
G3C-TRIAL-0058,COMSOL,G2AA-TRIAL-0058,closure_trial,BINDING,REJECT_BLOCKED,row is blocked or fail-closed under current receiver policy,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,blocker tracking only,evidence acceptance; policy approval; formula; production/runtime,true,true,false,false
G3C-TRIAL-0059,COMSOL,G2AA-TRIAL-0059,closure_trial,BINDING,REJECT_BLOCKED,row is blocked or fail-closed under current receiver policy,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,blocker tracking only,evidence acceptance; policy approval; formula; production/runtime,true,true,false,false
G3C-TRIAL-0060,COMSOL,G2AA-TRIAL-0060,closure_trial,BINDING,REJECT_BLOCKED,row is blocked or fail-closed under current receiver policy,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,blocker tracking only,evidence acceptance; policy approval; formula; production/runtime,true,true,false,false
