control_id,harmonization_id,input_status,observed_status,verdict_change,authorization_promotion,control_status
G6D-NEGCTRL-0019,G6D-HARM-0019,NOT_APPROVED,NOT_APPROVED,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0020,G6D-HARM-0020,ABSENT,ABSENT,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0021,G6D-HARM-0021,FAIL_CLOSED,FAIL_CLOSED,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0022,G6D-HARM-0022,blocked,blocked,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0023,G6D-HARM-0023,quarantine,quarantine,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0024,G6D-HARM-0024,review-only,review-only,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0025,G6D-HARM-0025,NOT_APPROVED,NOT_APPROVED,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0026,G6D-HARM-0026,ABSENT,ABSENT,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0027,G6D-HARM-0027,FAIL_CLOSED,FAIL_CLOSED,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0028,G6D-HARM-0028,blocked,blocked,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0029,G6D-HARM-0029,quarantine,quarantine,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0030,G6D-HARM-0030,review-only,review-only,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0031,G6D-HARM-0031,NOT_APPROVED,NOT_APPROVED,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0032,G6D-HARM-0032,ABSENT,ABSENT,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0033,G6D-HARM-0033,FAIL_CLOSED,FAIL_CLOSED,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0034,G6D-HARM-0034,blocked,blocked,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0035,G6D-HARM-0035,quarantine,quarantine,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0036,G6D-HARM-0036,review-only,review-only,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0037,G6D-HARM-0037,NOT_APPROVED,NOT_APPROVED,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0038,G6D-HARM-0038,ABSENT,ABSENT,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0039,G6D-HARM-0039,FAIL_CLOSED,FAIL_CLOSED,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0040,G6D-HARM-0040,blocked,blocked,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0041,G6D-HARM-0041,quarantine,quarantine,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0042,G6D-HARM-0042,review-only,review-only,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0043,G6D-HARM-0043,NOT_APPROVED,NOT_APPROVED,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0044,G6D-HARM-0044,ABSENT,ABSENT,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0045,G6D-HARM-0045,FAIL_CLOSED,FAIL_CLOSED,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0046,G6D-HARM-0046,blocked,blocked,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0047,G6D-HARM-0047,quarantine,quarantine,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0048,G6D-HARM-0048,review-only,review-only,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0049,G6D-HARM-0049,NOT_APPROVED,NOT_APPROVED,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0050,G6D-HARM-0050,ABSENT,ABSENT,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0051,G6D-HARM-0051,FAIL_CLOSED,FAIL_CLOSED,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0052,G6D-HARM-0052,blocked,blocked,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0053,G6D-HARM-0053,quarantine,quarantine,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0054,G6D-HARM-0054,review-only,review-only,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0055,G6D-HARM-0055,NOT_APPROVED,NOT_APPROVED,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0056,G6D-HARM-0056,ABSENT,ABSENT,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0057,G6D-HARM-0057,FAIL_CLOSED,FAIL_CLOSED,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0058,G6D-HARM-0058,blocked,blocked,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0059,G6D-HARM-0059,quarantine,quarantine,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0060,G6D-HARM-0060,review-only,review-only,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0061,G6D-HARM-0061,NOT_APPROVED,NOT_APPROVED,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0062,G6D-HARM-0062,ABSENT,ABSENT,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0063,G6D-HARM-0063,FAIL_CLOSED,FAIL_CLOSED,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0064,G6D-HARM-0064,blocked,blocked,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0065,G6D-HARM-0065,quarantine,quarantine,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0066,G6D-HARM-0066,review-only,review-only,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0067,G6D-HARM-0067,NOT_APPROVED,NOT_APPROVED,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0068,G6D-HARM-0068,ABSENT,ABSENT,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0069,G6D-HARM-0069,FAIL_CLOSED,FAIL_CLOSED,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0070,G6D-HARM-0070,blocked,blocked,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0071,G6D-HARM-0071,quarantine,quarantine,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0072,G6D-HARM-0072,review-only,review-only,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0073,G6D-HARM-0073,NOT_APPROVED,NOT_APPROVED,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0074,G6D-HARM-0074,ABSENT,ABSENT,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0075,G6D-HARM-0075,FAIL_CLOSED,FAIL_CLOSED,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0076,G6D-HARM-0076,blocked,blocked,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0077,G6D-HARM-0077,quarantine,quarantine,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0078,G6D-HARM-0078,review-only,review-only,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0079,G6D-HARM-0079,NOT_APPROVED,NOT_APPROVED,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0080,G6D-HARM-0080,ABSENT,ABSENT,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0081,G6D-HARM-0081,FAIL_CLOSED,FAIL_CLOSED,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0082,G6D-HARM-0082,blocked,blocked,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0083,G6D-HARM-0083,quarantine,quarantine,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0084,G6D-HARM-0084,review-only,review-only,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0085,G6D-HARM-0085,NOT_APPROVED,NOT_APPROVED,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0086,G6D-HARM-0086,ABSENT,ABSENT,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0087,G6D-HARM-0087,FAIL_CLOSED,FAIL_CLOSED,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0088,G6D-HARM-0088,blocked,blocked,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0089,G6D-HARM-0089,quarantine,quarantine,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0090,G6D-HARM-0090,review-only,review-only,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0091,G6D-HARM-0091,NOT_APPROVED,NOT_APPROVED,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0092,G6D-HARM-0092,ABSENT,ABSENT,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0093,G6D-HARM-0093,FAIL_CLOSED,FAIL_CLOSED,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0094,G6D-HARM-0094,blocked,blocked,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0095,G6D-HARM-0095,quarantine,quarantine,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0096,G6D-HARM-0096,review-only,review-only,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0097,G6D-HARM-0097,NOT_APPROVED,NOT_APPROVED,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0098,G6D-HARM-0098,ABSENT,ABSENT,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0099,G6D-HARM-0099,FAIL_CLOSED,FAIL_CLOSED,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0100,G6D-HARM-0100,blocked,blocked,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0101,G6D-HARM-0101,quarantine,quarantine,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0102,G6D-HARM-0102,review-only,review-only,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0103,G6D-HARM-0103,NOT_APPROVED,NOT_APPROVED,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0104,G6D-HARM-0104,ABSENT,ABSENT,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0105,G6D-HARM-0105,FAIL_CLOSED,FAIL_CLOSED,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0106,G6D-HARM-0106,blocked,blocked,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0107,G6D-HARM-0107,quarantine,quarantine,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0108,G6D-HARM-0108,review-only,review-only,false,false,PASS_NO_VERDICT_CHANGE
