register_row_id,candidate_type,source_artifact,route_key,diameter_nm,NODI_view,bin_basis,alignment_status,required_next_gate,reason
G2CTX-TPD-ALIGN-002,COMSOL transported-position context candidate,roadmap/TPD_TO_NODI_BRIDGE_ALIGNMENT_TABLE_20260621.csv,660/W800/D900,220,UNBOUND,edge_norm_1d_edge4_context,BLOCKED_MISSING_PRS_ROUTE_DIAMETER_GRAIN,NODI PRS artifact ingestion recheck plus explicit context-only Gate2 acceptance,COMSOL route/diameter context is absent from current PRS.
G2CTX-TPD-ALIGN-002,COMSOL transported-position context candidate,roadmap/TPD_TO_NODI_BRIDGE_ALIGNMENT_TABLE_20260621.csv,660/W800/D900,300,UNBOUND,edge_norm_1d_edge4_context,REVIEW_ONLY_MISSING_NODI_VIEW_BINDING,NODI PRS artifact ingestion recheck plus explicit context-only Gate2 acceptance,COMSOL context has route/diameter context but no NODI_view grain.
G2CTX-QCH-MISSING-003,q_ch / flow split candidate,UNAVAILABLE_FORMAL_QCH_FLOW_SPLIT_SIDECAR,*,*,*,*,BLOCKED_MISSING_FORMAL_QCH_FLOW_SPLIT_EXPORT,COMSOL formal Gate2 q_ch/flow split export package,No formal q_ch / flow split sidecar is present in reviewed packets.
G2CTX-CHI-AGG-004,TPD/PRS context proxy candidate,roadmap/TPD_PRS_CHI_CONTEXT_SIDECAR_AGGREGATE_20260622.csv,660/W800/D1200,220,fixed_660_gold,not_position_binned,BLOCKED_MISSING_PRS_ROUTE_DIAMETER_VIEW_GRAIN,NODI-side Gate2 context-only review with blocked-grain disposition,COMSOL context grain is absent from current NODI production PRS.
G2CTX-CHI-AGG-004,TPD/PRS context proxy candidate,roadmap/TPD_PRS_CHI_CONTEXT_SIDECAR_AGGREGATE_20260622.csv,660/W800/D1200,220,per_wavelength_gold,not_position_binned,BLOCKED_MISSING_PRS_ROUTE_DIAMETER_VIEW_GRAIN,NODI-side Gate2 context-only review with blocked-grain disposition,COMSOL context grain is absent from current NODI production PRS.
G2CTX-CHI-AGG-004,TPD/PRS context proxy candidate,roadmap/TPD_PRS_CHI_CONTEXT_SIDECAR_AGGREGATE_20260622.csv,660/W800/D1200,300,fixed_660_gold,not_position_binned,BLOCKED_MISSING_PRS_ROUTE_DIAMETER_VIEW_GRAIN,NODI-side Gate2 context-only review with blocked-grain disposition,COMSOL context grain is absent from current NODI production PRS.
G2CTX-CHI-AGG-004,TPD/PRS context proxy candidate,roadmap/TPD_PRS_CHI_CONTEXT_SIDECAR_AGGREGATE_20260622.csv,660/W800/D1200,300,per_wavelength_gold,not_position_binned,BLOCKED_MISSING_PRS_ROUTE_DIAMETER_VIEW_GRAIN,NODI-side Gate2 context-only review with blocked-grain disposition,COMSOL context grain is absent from current NODI production PRS.
G2CTX-CHI-AGG-004,TPD/PRS context proxy candidate,roadmap/TPD_PRS_CHI_CONTEXT_SIDECAR_AGGREGATE_20260622.csv,660/W800/D900,220,fixed_660_gold,not_position_binned,BLOCKED_MISSING_PRS_ROUTE_DIAMETER_VIEW_GRAIN,NODI-side Gate2 context-only review with blocked-grain disposition,COMSOL context grain is absent from current NODI production PRS.
G2CTX-CHI-AGG-004,TPD/PRS context proxy candidate,roadmap/TPD_PRS_CHI_CONTEXT_SIDECAR_AGGREGATE_20260622.csv,660/W800/D900,220,per_wavelength_gold,not_position_binned,BLOCKED_MISSING_PRS_ROUTE_DIAMETER_VIEW_GRAIN,NODI-side Gate2 context-only review with blocked-grain disposition,COMSOL context grain is absent from current NODI production PRS.
G2CTX-CHI-BIN-005,TPD/PRS context proxy candidate,roadmap/TPD_PRS_CHI_CONTEXT_SIDECAR_BINS_20260622.csv,660/W800/D1200,220,fixed_660_gold,prs_edge20_group_count_5,BLOCKED_MISSING_PRS_ROUTE_DIAMETER_VIEW_GRAIN,explicit coarse edge4 to PRS edge20 review before any future formula use,COMSOL context grain is absent from current NODI production PRS.
G2CTX-CHI-BIN-005,TPD/PRS context proxy candidate,roadmap/TPD_PRS_CHI_CONTEXT_SIDECAR_BINS_20260622.csv,660/W800/D1200,220,fixed_660_gold,prs_edge20_group_count_5,REVIEW_ONLY_COARSE_TO_FINE_BIN_GROUP_NOT_DIRECT_PRS_BIN,explicit coarse edge4 to PRS edge20 review before any future formula use,Coarse TPD bins require explicit review before formula use.
G2CTX-CHI-BIN-005,TPD/PRS context proxy candidate,roadmap/TPD_PRS_CHI_CONTEXT_SIDECAR_BINS_20260622.csv,660/W800/D1200,220,per_wavelength_gold,prs_edge20_group_count_5,BLOCKED_MISSING_PRS_ROUTE_DIAMETER_VIEW_GRAIN,explicit coarse edge4 to PRS edge20 review before any future formula use,COMSOL context grain is absent from current NODI production PRS.
G2CTX-CHI-BIN-005,TPD/PRS context proxy candidate,roadmap/TPD_PRS_CHI_CONTEXT_SIDECAR_BINS_20260622.csv,660/W800/D1200,220,per_wavelength_gold,prs_edge20_group_count_5,REVIEW_ONLY_COARSE_TO_FINE_BIN_GROUP_NOT_DIRECT_PRS_BIN,explicit coarse edge4 to PRS edge20 review before any future formula use,Coarse TPD bins require explicit review before formula use.
G2CTX-CHI-BIN-005,TPD/PRS context proxy candidate,roadmap/TPD_PRS_CHI_CONTEXT_SIDECAR_BINS_20260622.csv,660/W800/D1200,300,fixed_660_gold,prs_edge20_group_count_5,BLOCKED_MISSING_PRS_ROUTE_DIAMETER_VIEW_GRAIN,explicit coarse edge4 to PRS edge20 review before any future formula use,COMSOL context grain is absent from current NODI production PRS.
G2CTX-CHI-BIN-005,TPD/PRS context proxy candidate,roadmap/TPD_PRS_CHI_CONTEXT_SIDECAR_BINS_20260622.csv,660/W800/D1200,300,fixed_660_gold,prs_edge20_group_count_5,REVIEW_ONLY_COARSE_TO_FINE_BIN_GROUP_NOT_DIRECT_PRS_BIN,explicit coarse edge4 to PRS edge20 review before any future formula use,Coarse TPD bins require explicit review before formula use.
G2CTX-CHI-BIN-005,TPD/PRS context proxy candidate,roadmap/TPD_PRS_CHI_CONTEXT_SIDECAR_BINS_20260622.csv,660/W800/D1200,300,per_wavelength_gold,prs_edge20_group_count_5,BLOCKED_MISSING_PRS_ROUTE_DIAMETER_VIEW_GRAIN,explicit coarse edge4 to PRS edge20 review before any future formula use,COMSOL context grain is absent from current NODI production PRS.
G2CTX-CHI-BIN-005,TPD/PRS context proxy candidate,roadmap/TPD_PRS_CHI_CONTEXT_SIDECAR_BINS_20260622.csv,660/W800/D1200,300,per_wavelength_gold,prs_edge20_group_count_5,REVIEW_ONLY_COARSE_TO_FINE_BIN_GROUP_NOT_DIRECT_PRS_BIN,explicit coarse edge4 to PRS edge20 review before any future formula use,Coarse TPD bins require explicit review before formula use.
G2CTX-CHI-BIN-005,TPD/PRS context proxy candidate,roadmap/TPD_PRS_CHI_CONTEXT_SIDECAR_BINS_20260622.csv,660/W800/D900,220,fixed_660_gold,prs_edge20_group_count_5,BLOCKED_MISSING_PRS_ROUTE_DIAMETER_VIEW_GRAIN,explicit coarse edge4 to PRS edge20 review before any future formula use,COMSOL context grain is absent from current NODI production PRS.
G2CTX-CHI-BIN-005,TPD/PRS context proxy candidate,roadmap/TPD_PRS_CHI_CONTEXT_SIDECAR_BINS_20260622.csv,660/W800/D900,220,fixed_660_gold,prs_edge20_group_count_5,REVIEW_ONLY_COARSE_TO_FINE_BIN_GROUP_NOT_DIRECT_PRS_BIN,explicit coarse edge4 to PRS edge20 review before any future formula use,Coarse TPD bins require explicit review before formula use.
G2CTX-CHI-BIN-005,TPD/PRS context proxy candidate,roadmap/TPD_PRS_CHI_CONTEXT_SIDECAR_BINS_20260622.csv,660/W800/D900,220,per_wavelength_gold,prs_edge20_group_count_5,BLOCKED_MISSING_PRS_ROUTE_DIAMETER_VIEW_GRAIN,explicit coarse edge4 to PRS edge20 review before any future formula use,COMSOL context grain is absent from current NODI production PRS.
G2CTX-CHI-BIN-005,TPD/PRS context proxy candidate,roadmap/TPD_PRS_CHI_CONTEXT_SIDECAR_BINS_20260622.csv,660/W800/D900,220,per_wavelength_gold,prs_edge20_group_count_5,REVIEW_ONLY_COARSE_TO_FINE_BIN_GROUP_NOT_DIRECT_PRS_BIN,explicit coarse edge4 to PRS edge20 review before any future formula use,Coarse TPD bins require explicit review before formula use.
G2CTX-CHI-BIN-005,TPD/PRS context proxy candidate,roadmap/TPD_PRS_CHI_CONTEXT_SIDECAR_BINS_20260622.csv,660/W800/D900,300,fixed_660_gold,prs_edge20_group_count_5,REVIEW_ONLY_COARSE_TO_FINE_BIN_GROUP_NOT_DIRECT_PRS_BIN,explicit coarse edge4 to PRS edge20 review before any future formula use,Coarse TPD bins require explicit review before formula use.
G2CTX-CHI-BIN-005,TPD/PRS context proxy candidate,roadmap/TPD_PRS_CHI_CONTEXT_SIDECAR_BINS_20260622.csv,660/W800/D900,300,per_wavelength_gold,prs_edge20_group_count_5,REVIEW_ONLY_COARSE_TO_FINE_BIN_GROUP_NOT_DIRECT_PRS_BIN,explicit coarse edge4 to PRS edge20 review before any future formula use,Coarse TPD bins require explicit review before formula use.
G2CTX-LQ-ANCHOR-006,local-Q hydraulic anchor / event-tree diagnostic candidate,roadmap/EV_PBS_ENTRANCE_LOCAL_Q_EFFECTIVE_APERTURE_LOCAL_Q_EVENT_TREE_BRIDGE_INPUT_20260623.csv,W500/D1000_NO_NODI_LAMBDA;W500/D1200_NO_NODI_LAMBDA;W500/D1400_NO_NODI_LAMBDA;W500/D600_NO_NODI_LAMBDA;W500/D800_NO_NODI_LAMBDA;W500/D900_NO_NODI_LAMBDA;W600/D1000_NO_NODI_LAMBDA;W600/D1200_NO_NODI_LAMBDA;W600/D1400_NO_NODI_LAMBDA;W600/D600_NO_NODI_LAMBDA;W600/D800_NO_NODI_LAMBDA;W600/D900_NO_NODI_LAMBDA;W800/D1000_NO_NODI_LAMBDA;W800/D1200_NO_NODI_LAMBDA;W800/D1400_NO_NODI_LAMBDA;W800/D900_NO_NODI_LAMBDA,effective_aperture_category_not_particle_diameter,UNBOUND_REVIEW_ONLY,blocked_220nm;open_300nm_control;transition_220_300nm,REVIEW_ONLY_NO_NODI_ROUTE_DIAMETER_BIN_BINDING,separate local-Q/NODI binding review if hydraulic context is needed,Context lacks exact NODI route/diameter/view/bin production binding.
G2CTX-LQ-SCREEN-007,local-Q hydraulic anchor / event-tree diagnostic candidate,roadmap/EV_PBS_LOCAL_Q_EVENT_TREE_BRIDGE_SCREENING_RESULTS_20260623.csv,UNBOUND_REVIEW_ONLY,effective_aperture_category_not_particle_diameter,UNBOUND_REVIEW_ONLY,blocked_220nm;open_300nm_control;transition_220_300nm,REVIEW_ONLY_NO_NODI_ROUTE_DIAMETER_BIN_BINDING,calibrated event-data gate before any event-tree result claim,Context lacks exact NODI route/diameter/view/bin production binding.
G2CTX-LQ-BRANCH-008,local-Q hydraulic anchor / event-tree diagnostic candidate,roadmap/EV_PBS_LOCAL_Q_BRANCH_ENVELOPE_REVIEW_GATE_BRANCH_DECISIONS_20260624.csv,UNBOUND_REVIEW_ONLY,not_diameter_binned,UNBOUND_REVIEW_ONLY,not_position_binned,REVIEW_ONLY_NO_NODI_ROUTE_DIAMETER_BIN_BINDING,separate physics-contract gate before default event-tree use,Context lacks exact NODI route/diameter/view/bin production binding.
G2CTX-V4-CONTRACT-009,V4 sample/surface review-only context,roadmap/EV_PBS_SAMPLE_SURFACE_CANONICAL_CONTRACT_V4_20260627.json,V4_REVIEW_CONTEXT_UNBOUND_TO_NODI_ROUTE,not_diameter_binned,UNBOUND_REVIEW_ONLY,not_position_binned,REVIEW_ONLY_NO_NODI_ROUTE_DIAMETER_BIN_BINDING,V4-bound Gate2 review package with all production flags false,Context lacks exact NODI route/diameter/view/bin production binding.
G2CTX-V4-SIDECAR-010,V4 sample/surface review-only context,roadmap/EV_PBS_V4_NON_NANO_NODI_REVIEW_CONTEXT_SIDECAR_ROWS_20260627.csv,V4_REVIEW_CONTEXT_UNBOUND_TO_NODI_ROUTE,not_diameter_binned,UNBOUND_REVIEW_ONLY,direct_lodge_delta;interaction_detachment;interaction_hydraulic;interaction_stack;interaction_wall_deposit;scenario_delta_summary,REVIEW_ONLY_NO_NODI_ROUTE_DIAMETER_BIN_BINDING,"separate V4 production-ingestion authorization, currently blocked",Context lacks exact NODI route/diameter/view/bin production binding.
